date,open,high,low,close,volume,turnover,transactions,price_change
20211206,78.0,78.9,72.1,75.9,79437560,6022191832,47955,X0.00
20211207,76.0,77.1,73.5,73.6,45956415,3450289096,32944,-2.30
20211208,74.8,75.0,72.6,72.7,31867803,2343542493,22896,-0.90
20211209,72.2,72.5,70.9,71.0,37150136,2650820566,26823,-1.70
20211210,70.4,74.2,69.5,72.7,31323383,2250855115,21875,+1.70
20211213,72.5,72.6,71.0,71.0,18881294,1349826983,12338,-1.70
20211214,70.6,70.9,69.5,69.8,20207571,1414287216,13835,-1.20
20211215,70.0,70.7,69.6,70.2,11281692,790010942,7732,+0.40
20211216,71.6,71.7,70.3,70.6,14453462,1022776164,9276,+0.40
20211217,70.0,70.3,69.7,69.9,14418197,1008099206,8921,-0.70
20211220,70.0,70.1,69.0,69.3,12721642,883318942,8632,-0.60
20211221,69.8,70.8,69.3,70.8,11394862,800078085,7255,+1.50
20211222,71.4,71.7,70.8,70.8,12342990,878541290,8015, 0.00
20211223,71.4,71.5,70.2,70.3,9519766,672617327,6498,-0.50
20211224,70.5,71.0,70.3,70.4,8174498,576804991,5680,+0.10
20211227,70.9,71.4,70.8,70.9,9779103,694061533,6456,+0.50
20211228,71.4,71.6,71.1,71.4,12345078,881272826,7836,+0.50
20211229,71.6,71.9,71.2,71.6,9131312,652793694,6224,+0.20
20211230,71.6,71.7,71.2,71.2,12217366,872759139,7085,-0.40
20220103,71.2,71.2,69.8,70.0,16553430,1163517383,10635,-1.20
20220104,70.1,70.2,69.2,69.2,17214838,1196558210,16761,-0.80
20220105,69.4,70.2,69.0,69.3,11031875,766857855,7441,+0.10
20220106,69.0,69.0,68.0,68.5,14632720,999081850,10733,-0.80
20220107,68.4,68.9,66.5,67.5,19045075,1280310120,12995,-1.00
20220110,66.5,67.3,66.0,67.0,12010804,799102412,8296,-0.50
20220111,67.4,67.8,66.7,67.0,9369418,629046327,6435, 0.00
20220112,67.3,67.5,66.6,66.9,7253732,486024496,4451,-0.10
20220113,67.1,68.2,67.1,68.2,11279436,765805222,7008,+1.30
20220114,68.4,68.5,67.0,67.3,8246918,556402149,5568,-0.90
20220117,68.2,68.3,67.5,68.1,9174011,623849621,5389,+0.80
20220118,68.4,68.4,68.0,68.0,6387489,435570147,4281,-0.10
20220119,67.0,67.8,66.8,67.8,6262858,421554435,3981,-0.20
20220120,67.7,68.0,67.3,67.9,4590963,311002451,3146,+0.10
20220121,67.7,67.7,66.5,67.2,8819495,590650255,6183,-0.70
20220124,66.7,66.8,65.0,66.2,9926392,654063801,6942,-1.00
20220125,66.0,66.3,65.5,65.6,9939641,653747640,5445,-0.60
20220126,64.4,65.3,63.8,65.2,24060235,1554549670,13280,-0.40
20220207,64.7,65.0,62.6,64.5,21456987,1365392648,11463,-0.70
20220208,64.5,66.3,64.4,66.1,11840873,776985437,8183,+1.60
20220209,66.5,66.5,65.3,66.2,11155090,736020982,6778,+0.10
20220210,65.6,65.9,64.3,65.0,13010854,844637989,9496,-1.20
20220211,64.3,64.4,63.7,63.9,12525853,800665344,10500,-1.10
20220214,62.6,62.6,61.5,61.5,19219584,1187896759,13141,-2.40
20220215,61.3,62.0,60.4,60.4,19423306,1190121966,14663,-1.10
20220216,61.0,61.4,59.0,59.2,42572698,2548808174,26444,-1.20
20220217,59.5,59.9,58.1,59.6,29360984,1734846155,18028,+0.40
20220218,58.9,59.3,58.4,59.2,11121877,656365960,7588,-0.40
20220221,59.0,59.0,58.5,58.6,10295508,604812605,8758,-0.60
20220222,58.3,58.4,56.5,56.6,21768907,1244551380,17160,-2.00
20220223,56.1,57.3,56.0,57.1,15310562,870289808,8943,+0.50
20220224,56.0,56.1,53.1,53.3,25821040,1405894772,17117,X0.00
20220225,53.6,54.0,52.3,53.3,20905992,1108265708,12249, 0.00
20220301,53.6,56.3,53.5,55.9,20627726,1145565263,11763,+2.60
20220302,54.5,56.0,54.1,56.0,10403738,571412571,6765,+0.10
20220303,56.0,56.1,55.0,55.4,9923382,551103234,6098,-0.60
20220304,54.7,54.9,53.8,54.0,10137438,548305844,7177,-1.40
20220307,53.0,53.1,51.3,52.2,18611700,963825550,11609,-1.80
20220308,50.6,51.6,49.7,49.7,23076287,1159342461,14612,-2.50
20220309,50.1,50.6,49.8,50.2,12945598,649326656,7656,+0.50
20220310,51.4,52.0,51.3,51.5,10879903,561221496,6471,+1.30
20220311,51.4,51.5,50.8,50.9,6266901,320222057,4079,-0.60
20220314,51.0,51.5,50.7,51.4,7309700,373806200,4436,+0.50
20220315,51.0,51.1,50.0,50.4,11952964,601509503,6888,-1.00
20220316,50.9,51.4,50.2,51.4,12482184,632502434,7534,+1.00
