date,open,high,low,close,volume,turnover,transactions,price_change
20100104,31.35,31.55,30.65,30.75,8435876,260754974,2361,-0.6
20100105,30.95,31.05,29.9,30.15,8470121,256920617,2394,-0.6
20100106,30.5,30.65,30.15,30.5,6400151,194785859,1918,0.35
20100107,30.4,30.7,30.15,30.15,5081919,154499642,1769,-0.35
20100108,30.15,30.5,29.9,30.5,4225926,127632081,1551,0.35
20100111,30.6,31.05,30.5,30.8,7626297,234637273,2167,0.3
20100112,31.15,31.2,30.8,30.95,8343466,259191356,2444,0.15
20100113,30.9,32.3,30.75,31.75,19032975,604194527,5959,0.8
20100114,32.2,32.3,31.6,32.0,11850979,379933503,3673,0.25
20100115,32.4,32.6,32.1,32.15,9867625,319464200,2877,0.15
20100118,31.9,32.1,31.75,31.9,5020005,160189943,1569,-0.25
20100119,32.0,33.35,31.5,33.35,11201093,364038072,3027,1.45
20100120,33.85,34.1,32.7,33.0,21193397,711781320,5688,-0.35
20100121,32.7,33.0,32.25,32.3,6700610,217686030,2236,-0.7
20100122,31.6,32.0,31.55,31.6,4665981,148039991,1660,-0.7
20100125,31.0,31.6,30.95,31.1,3326413,103886233,1301,-0.5
20100126,31.5,31.5,29.05,29.5,7023472,211319520,2273,-1.6
20100127,29.5,30.3,29.1,29.55,3599189,106814629,1561,0.05
20100128,29.6,30.3,29.6,30.3,2532772,76251920,883,0.75
20100129,30.0,31.2,29.5,30.5,3548905,108103071,1377,0.2
20100201,30.5,30.8,30.25,30.55,1877463,57213268,737,0.05
20100202,30.8,31.0,29.9,29.9,2740961,83644080,1139,-0.65
20100203,30.5,30.6,30.0,30.5,1984119,60330128,862,0.6
20100204,30.9,30.9,30.5,30.5,1154619,35369832,612,0.0
20100205,29.5,29.8,28.5,29.0,3728426,108592713,1514,-1.5
20100206,29.2,29.4,28.0,29.2,2417579,69859168,856,0.2
20100208,29.4,29.6,29.2,29.25,1508369,44351159,674,0.05
20100209,29.7,30.6,29.35,30.25,2879792,86593003,1185,1.0
20100210,30.75,30.8,30.2,30.25,2935033,89589389,1034,0.0
20100222,31.0,31.0,30.3,30.4,2042569,62538334,867,0.15
20100223,30.4,30.65,29.95,29.95,3794920,114196642,1335,-0.45
20100224,29.65,30.1,29.65,29.8,1765062,52758732,781,-0.15
20100225,29.9,30.2,29.2,29.4,1896483,56270217,811,-0.4
20100226,29.4,29.7,29.15,29.25,1494209,43847736,577,-0.15
20100301,29.3,29.95,29.25,29.8,2146109,63665030,913,0.55
20100302,30.05,31.1,29.85,31.0,9504507,290511617,3047,1.2
20100303,31.25,31.45,30.9,31.0,5547962,172718472,1884,0.0
20100304,30.9,31.05,30.5,30.75,2496737,76957311,1075,-0.25
20100305,30.95,31.05,30.75,31.0,2871793,88778851,1002,0.25
20100308,31.15,31.3,30.9,30.95,2625430,81590081,923,-0.05
20100309,30.95,31.25,30.95,31.2,2808663,87374227,1024,0.25
20100310,31.2,31.85,31.2,31.55,6078397,191783946,1995,0.35
20100311,31.65,31.85,31.4,31.4,2804028,88520368,925,-0.15
20100312,31.45,31.45,31.15,31.3,2113966,66100235,574,-0.1
20100315,31.3,31.35,30.6,30.6,2145204,66369319,679,-0.7
20100316,30.6,31.05,30.6,30.85,1735091,53635888,540,0.25
20100317,31.2,31.3,31.0,31.3,2406707,74965262,750,0.45
20100318,31.4,31.5,31.05,31.05,2784502,87026399,1034,-0.25
20100319,31.2,31.3,30.9,30.9,1991405,61933889,842,-0.15
20100322,30.8,31.45,30.8,31.2,1743206,54336385,750,0.3
20100323,31.75,32.5,31.75,31.9,9395942,301843646,3078,0.7
20100324,32.3,32.3,31.3,31.35,3980742,126294643,1444,-0.55
20100325,31.35,31.35,30.9,31.0,3499562,108759013,1166,-0.35
20100326,31.1,31.45,31.1,31.2,1254666,39221257,577,0.2
20100329,31.45,31.65,31.25,31.25,1933376,60807283,690,0.05
20100330,31.6,31.6,31.05,31.15,1615310,50426915,645,-0.1
20100331,31.25,31.25,30.8,30.8,2170047,67159691,675,-0.35
20100401,31.0,31.25,30.95,31.25,1942040,60391833,847,0.45
20100402,31.5,31.5,31.1,31.2,2699802,84579786,937,-0.05
20100406,31.6,31.75,31.3,31.35,3985264,125691238,1360,0.15
20100407,31.45,31.9,31.45,31.65,4861959,153914446,1579,0.3
20100408,31.8,31.8,31.2,31.4,3657377,115124691,1129,-0.25
20100409,31.4,31.6,31.25,31.3,1827399,57344690,698,-0.1
20100412,31.3,31.5,30.9,30.9,2058182,63927594,779,-0.4
20100413,31.5,31.6,31.35,31.4,4093186,128761424,1491,0.5
20100414,31.6,31.95,31.45,31.7,3388043,107301595,1331,0.3
20100415,32.05,33.7,31.95,33.4,16554213,542932817,4697,1.7
20100416,33.95,34.0,33.2,33.3,9715066,326027569,3316,-0.1
20100419,33.0,33.0,31.5,31.55,7993908,257177446,2646,-1.75
20100420,32.3,33.2,32.1,32.5,10574345,346040455,2933,0.95
20100421,33.1,33.45,32.75,33.2,9359855,310153637,2650,0.7
20100422,33.1,33.5,32.8,33.3,8226485,273322141,2681,0.1
20100423,33.4,33.85,33.1,33.1,9280009,310950647,2460,-0.2
20100426,33.6,34.4,33.3,33.8,18189353,617406959,4453,0.7
20100427,34.15,35.2,34.0,34.9,26777718,929125969,7291,1.1
20100428,34.0,35.6,34.0,35.4,19035059,666342356,5321,0.5
20100429,35.4,35.4,34.2,34.2,12901624,446933767,3664,-1.2
20100430,34.35,35.8,34.35,34.85,22360186,786448960,5749,0.65
20100503,35.3,35.3,34.1,34.65,8487824,293720593,2340,-0.2
20100504,35.1,35.1,33.0,33.4,14530222,490505706,4287,-1.25
20100505,32.05,32.55,31.9,32.25,8156824,263368164,2511,-1.15
20100506,32.25,33.3,32.25,32.8,8641238,283248252,2639,0.55
20100507,32.8,34.0,32.6,33.8,17663947,587723149,5972,1.0
20100510,34.35,34.4,33.5,34.1,9224880,313990451,2807,0.3
20100511,34.25,34.45,33.8,33.85,7148285,243901688,2005,-0.25
20100512,34.2,34.3,33.9,34.2,4956997,169311891,1831,0.35
20100513,34.65,34.85,34.4,34.6,5195342,179949042,1824,0.4
20100514,34.4,34.65,33.9,34.4,5818912,199630780,2268,-0.2
20100517,34.0,34.1,33.75,33.9,4265942,144759941,1458,-0.5
20100518,34.2,34.3,33.6,33.8,4719769,159823450,1334,-0.1
20100519,33.8,34.0,33.45,33.8,5806480,195953467,1973,0.0
20100520,33.8,34.0,33.1,33.1,3379316,113545253,1328,-0.7
20100521,32.0,32.3,31.5,32.0,4402769,140292508,1810,-1.1
20100524,32.5,33.6,32.0,33.2,4789232,156719443,1702,1.2
20100525,33.0,33.0,31.6,32.1,3909821,125977849,1509,-1.1
20100526,32.35,32.6,31.8,32.15,2085297,67199454,817,0.05
20100527,32.15,32.9,32.0,32.7,2563160,83121528,1049,0.55
20100528,33.0,33.2,32.55,32.65,4150488,136411328,1358,-0.05
20100531,32.9,33.8,32.75,33.7,3707626,123562990,1418,1.05
20100601,33.6,34.65,33.4,34.0,6755757,230284388,2378,0.3
20100602,34.0,34.35,33.85,34.15,4163140,142036623,1795,0.15
20100603,34.35,34.5,33.85,33.9,5091898,173170982,1850,-0.25
20100604,33.9,34.2,33.35,33.35,2917098,98496511,1141,-0.55
20100607,32.5,32.9,32.15,32.75,2762657,89729245,1112,-0.6
20100608,32.5,33.1,32.3,32.4,2880773,93723448,1102,-0.35
20100609,32.4,32.75,31.75,32.0,2068477,66712164,861,-0.4
20100610,32.0,32.4,31.75,32.3,2021025,64802949,968,0.3
20100611,32.75,32.8,32.5,32.6,1814851,59241252,792,0.3
20100614,33.0,33.0,32.5,32.95,1488563,48763309,658,0.35
20100615,33.0,33.45,32.8,33.05,2139525,70925241,787,0.1
20100617,33.45,33.45,33.0,33.05,2345716,77885458,935,0.0
20100618,33.05,33.4,32.4,33.4,3672350,120621430,1615,0.35
20100621,33.75,33.75,33.3,33.45,2508806,84015715,973,0.05
20100622,33.45,33.45,33.2,33.2,1052743,35022819,473,-0.25
20100623,33.0,33.45,33.0,33.1,1181494,39268052,573,-0.1
20100624,33.0,33.65,33.0,33.45,2775461,92833259,1385,0.35
20100625,33.05,33.2,32.9,32.9,1697110,56009090,728,-0.55
20100628,32.9,33.15,32.8,32.9,741888,24467078,266,0.0
20100629,32.9,33.2,32.0,32.25,3043452,98784371,1065,-0.65
20100630,31.5,31.8,31.3,31.55,3181432,100473715,1186,-0.7
20100701,31.55,31.8,31.4,31.65,4599179,137903560,687,0.1
20100702,31.8,32.55,31.8,32.0,1876725,60330085,707,0.35
20100705,32.0,32.35,32.0,32.3,1019126,32729435,476,0.3
20100706,32.4,32.8,32.2,32.8,1568492,51056260,792,0.5
20100707,32.8,32.85,32.5,32.65,2877402,93892963,1076,-0.15
20100708,32.9,33.0,32.7,32.7,3578509,117507610,1465,0.05
20100709,32.6,32.95,32.5,32.55,3317567,108286414,1053,-0.15
20100712,32.8,32.95,32.6,32.6,1954150,64036401,676,0.05
20100713,32.9,33.1,32.65,32.85,5650604,185763942,1643,0.25
20100714,33.5,33.5,32.9,32.9,4052003,133939486,1164,0.05
20100715,33.0,33.1,32.9,32.95,1627973,53648052,676,0.05
20100716,32.9,33.0,32.65,32.7,2091854,68564792,1110,-0.25
20100719,32.4,32.65,32.25,32.65,1087101,35372279,537,-0.05
20100720,32.75,33.25,32.75,33.2,2576250,85159002,871,0.55
20100721,33.35,33.35,32.85,32.85,2231914,73790326,774,-0.35
20100722,32.85,33.1,32.85,33.05,826016,27251866,370,0.2
20100723,33.25,33.35,33.0,33.15,2024826,67109508,908,0.1
20100726,33.2,33.3,33.05,33.3,2712974,90069979,971,0.15
20100727,33.3,33.45,33.0,33.0,2478861,82177834,925,-0.3
20100728,33.0,33.25,33.0,33.1,2075197,68790014,653,0.1
20100729,33.1,33.65,33.1,33.65,5727481,191493973,1596,0.55
20100730,33.6,33.75,33.4,33.75,3484295,117226257,1175,0.1
20100802,33.9,34.4,33.9,34.4,5427440,185477047,1731,+0.65
20100803,34.6,34.6,34.1,34.2,3778178,129440813,1419,-0.20
20100804,34.2,34.5,34.15,34.5,7623302,261903853,2496,+0.30
20100805,32.0,32.05,30.85,30.85,8220425,258995207,2863,X0.00
20100806,31.0,31.15,30.8,30.85,2403637,74307782,1290, 0.00
20100809,30.85,30.95,30.5,30.55,2933010,89984796,1261,-0.30
20100810,30.4,30.55,29.9,30.0,5117736,154351561,1720,-0.55
20100811,30.0,30.55,29.75,30.2,3986888,120846179,1416,+0.20
20100812,30.0,30.2,29.95,30.0,1667259,50081020,666,-0.20
20100813,30.3,30.5,30.0,30.4,1351310,41071038,612,+0.40
20100816,30.4,30.5,30.3,30.4,1243403,37798155,549, 0.00
20100817,30.45,30.55,30.35,30.4,1623338,49398884,701, 0.00
20100818,30.5,30.65,30.3,30.3,2473694,75254353,938,-0.10
20100819,30.4,30.45,30.0,30.0,4583345,138594100,1344,-0.30
20100820,30.0,30.3,29.8,29.9,3357439,100674624,1420,-0.10
20100823,29.9,29.95,29.6,29.6,2425681,72235418,926,-0.30
20100824,29.5,29.5,29.0,29.05,3469553,101143405,1438,-0.55
20100825,28.95,28.95,28.0,28.05,3703718,105200066,1457,-1.00
20100826,28.05,28.15,27.0,27.3,3866037,106165056,1815,-0.75
20100827,27.0,27.1,26.65,27.1,7145099,191875223,2217,-0.20
20100830,27.2,27.3,26.85,26.85,4084753,110540502,1377,-0.25
20100831,26.8,26.8,25.9,26.15,5399866,141583244,1573,-0.70
20100901,26.2,27.1,26.2,27.0,2459611,66000997,924,+0.85
20100902,27.5,27.6,27.2,27.2,2169871,59392947,867,+0.20
20100903,27.2,27.6,27.2,27.6,1769408,48642765,718,+0.40
20100906,27.6,28.3,27.6,28.15,2653151,74463928,1056,+0.55
20100907,28.4,29.0,28.4,28.8,4041871,116279446,1462,+0.65
20100908,28.95,29.1,28.5,28.65,3200295,92051565,1057,-0.15
20100909,28.6,28.7,27.9,28.15,3344718,94157207,1420,-0.50
20100910,28.15,28.6,28.15,28.45,1601678,45583451,655,+0.30
20100913,28.55,29.0,28.55,28.75,2292912,66083522,829,+0.30
20100914,28.85,29.05,28.65,28.9,2148081,61942475,753,+0.15
20100915,29.1,29.2,28.75,28.95,1595708,46190360,640,+0.05
20100916,29.0,29.2,28.8,29.0,1396058,40448769,502,+0.05
20100917,29.25,29.25,28.95,29.1,1471774,42785894,664,+0.10
20100920,29.1,29.15,28.8,28.9,1232242,35623462,616,-0.20
20100921,29.0,29.1,28.6,28.8,1828041,52580476,700,-0.10
20100923,28.8,29.0,28.6,29.0,1612803,46505502,636,+0.20
20100924,28.8,29.0,28.7,29.0,1546608,44691036,536, 0.00
20100927,29.15,29.2,28.9,28.95,873940,25348212,397,-0.05
20100928,29.05,29.1,28.75,29.1,795054,23053257,408,+0.15
20100929,31.1,31.1,30.6,30.9,14783120,457716976,3739,+1.80
20100930,30.8,30.8,30.3,30.4,3347014,102236210,1148,-0.50
20101001,30.8,30.8,30.0,30.1,2030819,61559704,1003,-0.30
20101004,30.1,30.35,29.9,29.95,1477994,44457415,626,-0.15
20101005,29.8,29.8,29.5,29.6,1341488,39742691,569,-0.35
20101006,29.9,30.15,29.7,30.0,1754445,52533093,642,+0.40
20101007,30.3,30.75,30.15,30.75,4190143,128063917,1294,+0.75
20101008,31.2,31.3,30.3,30.35,2518648,77483012,990,-0.40
20101011,30.6,31.35,30.35,30.4,5829917,179971019,1828,+0.05
20101012,30.4,30.45,29.55,29.6,3148720,93951419,1333,-0.80
20101013,29.65,29.85,29.4,29.6,2032167,60239275,779, 0.00
20101014,29.75,30.05,29.55,29.55,1951338,58093439,698,-0.05
20101015,29.6,30.1,29.6,29.7,2270805,67761303,707,+0.15
20101018,29.8,29.9,29.05,29.1,2314328,67693512,1209,-0.60
20101019,29.0,29.5,28.8,29.05,1798857,52450542,685,-0.05
20101020,29.0,29.55,29.0,29.55,4047351,118579314,1817,+0.50
20101021,29.35,29.75,29.1,29.65,2778067,81622022,887,+0.10
20101022,29.65,29.75,29.35,29.55,2532304,74730625,696,-0.10
20101025,29.2,29.45,28.8,29.3,3416466,99618496,1135,-0.25
20101026,29.35,29.8,29.25,29.5,3070618,90708114,970,+0.20
20101027,29.9,29.9,29.3,29.35,2696409,79815180,885,-0.15
20101028,29.5,29.85,29.4,29.85,3227465,95583008,865,+0.50
20101029,29.85,30.3,29.75,30.05,5073837,152604310,1747,+0.20
20101101,30.2,30.35,29.85,29.85,3264309,98232618,1068,-0.20
20101102,30.1,30.1,29.45,29.45,2410682,71860524,1032,-0.40
20101103,29.6,29.85,29.0,29.3,2836370,83581867,1148,-0.15
20101104,29.5,29.65,29.3,29.45,1230606,36297478,539,+0.15
20101105,29.85,29.9,29.6,29.6,1376672,40846979,604,+0.15
20101108,29.6,29.7,29.25,29.3,1494865,43874285,543,-0.30
20101109,29.7,29.7,29.2,29.3,1157047,33989165,456, 0.00
20101110,29.2,29.4,29.15,29.2,1076433,31482844,437,-0.10
20101111,29.2,29.5,29.2,29.35,715418,21014798,386,+0.15
20101112,29.2,29.2,29.0,29.0,1372069,39875951,575,-0.35
20101115,29.0,29.1,28.65,28.65,1200303,34614392,448,-0.35
20101116,29.0,29.35,28.9,29.1,2069052,60180702,683,+0.45
20101117,28.95,29.15,28.8,29.0,1341525,38829415,541,-0.10
20101118,29.0,29.15,29.0,29.0,856691,24901527,310, 0.00
20101119,29.2,29.3,29.0,29.0,1223238,35661852,511, 0.00
20101122,29.05,29.35,29.05,29.25,1375613,40240712,410,+0.25
20101123,29.5,30.2,29.5,29.8,3420361,102248862,1264,+0.55
20101124,29.5,29.65,29.1,29.3,1792826,52639616,714,-0.50
20101125,29.5,29.9,29.45,29.55,2107438,62555092,667,+0.25
20101126,29.7,29.8,29.35,29.45,1490601,44085832,564,-0.10
20101129,30.0,30.0,29.4,29.45,1587011,46848417,815, 0.00
20101130,29.6,30.25,29.45,30.25,3790635,113403158,1165,+0.80
20101201,30.25,31.3,30.0,30.9,8973293,275909701,2763,+0.65
20101202,31.5,32.0,31.25,31.85,10815874,342100229,2713,+0.95
20101203,31.95,32.3,31.6,32.05,7956113,254677429,2621,+0.20
20101206,32.05,32.1,31.65,31.7,3000152,95530333,1096,-0.35
20101207,31.7,32.0,31.7,31.8,2175333,69324820,981,+0.10
20101208,32.0,32.0,31.6,31.6,1930143,61386501,673,-0.20
20101209,32.0,32.1,31.85,32.0,3576325,114388932,1394,+0.40
20101210,32.0,32.5,31.65,32.5,4692294,151194442,1689,+0.50
20101213,32.65,32.65,32.05,32.35,2697014,87301547,1071,-0.15
20101214,32.65,33.0,32.15,32.2,6178871,201583101,2417,-0.15
20101215,32.2,32.25,31.7,32.0,2821524,90060776,1121,-0.20
20101216,32.05,32.3,31.9,32.1,2128155,68284590,891,+0.10
20101217,32.5,32.8,32.2,32.2,3104503,100747326,1368,+0.10
20101220,32.4,32.5,31.7,31.8,1976894,63397817,744,-0.40
20101221,31.45,31.45,30.55,31.25,5087297,157809321,1690,-0.55
20101222,31.5,31.5,31.1,31.25,1977690,61840383,942, 0.00
20101223,31.45,31.45,31.2,31.4,1919165,60114346,808,+0.15
20101224,31.4,31.4,31.05,31.15,1475323,46038436,599,-0.25
20101227,31.3,31.45,31.15,31.2,1256371,39260929,523,+0.05
20101228,31.2,31.4,31.1,31.15,1530925,47734175,574,-0.05
20101229,31.3,31.45,30.85,30.9,2852795,88703376,883,-0.25
20101230,30.6,31.05,30.6,30.65,2554734,78576986,891,-0.25
20101231,31.0,31.15,30.6,30.65,2672266,82372039,716, 0.00
20110103,30.95,32.75,30.75,32.55,7817624,251664572,2312,+1.90
20110104,33.0,33.5,32.6,32.95,11986126,395724118,3543,+0.40
20110105,33.3,33.4,31.75,32.2,7005411,227689576,2340,-0.75
20110106,32.25,32.85,31.95,32.8,4573875,148721756,1523,+0.60
20110107,32.4,32.8,31.9,32.0,2960625,95341554,1209,-0.80
20110110,32.4,32.4,31.65,32.0,2113619,67488538,863, 0.00
20110111,32.0,33.0,31.8,32.6,4026015,130732382,1409,+0.60
20110112,33.0,33.2,32.25,32.85,3976139,130054236,1254,+0.25
20110113,32.8,32.85,32.45,32.8,3275011,107071451,802,-0.05
20110114,32.8,33.15,32.7,32.75,6891066,226851093,2181,-0.05
20110117,33.1,33.2,32.7,32.8,6836450,225489602,1990,+0.05
20110118,32.7,32.95,32.4,32.5,2818293,91935133,1125,-0.30
20110119,32.7,32.95,32.55,32.8,3477380,113764691,1591,+0.30
20110120,32.75,32.75,32.4,32.5,1905245,62015806,787,-0.30
20110121,32.3,32.5,32.05,32.25,1845420,59630896,894,-0.25
20110124,32.3,32.35,31.75,31.85,2909346,92950509,1143,-0.40
20110125,31.9,32.35,31.9,31.95,1105940,35406587,465,+0.10
20110126,32.1,32.3,32.0,32.15,1276374,41046168,597,+0.20
20110127,32.2,32.45,32.2,32.25,920517,29747414,520,+0.10
20110128,32.35,32.5,32.0,32.2,2196284,70708938,938,-0.05
20110208,32.2,32.2,31.0,31.05,4190107,131528750,1651,-1.15
20110209,31.05,31.4,30.3,30.4,4056559,124041038,1443,-0.65
20110210,30.9,31.25,30.55,30.6,3106695,95550052,1134,+0.20
20110211,30.6,30.9,29.8,30.05,2381808,72435740,1036,-0.55
20110214,30.1,30.4,30.05,30.15,2219042,66884655,819,+0.10
20110215,30.1,30.35,29.6,30.15,3914389,117084520,1659, 0.00
20110216,30.2,30.6,29.9,30.4,2819265,85505162,1185,+0.25
20110217,30.4,30.8,30.3,30.3,1817772,55402221,638,-0.10
20110218,30.5,30.7,30.3,30.35,1777312,54064778,714,+0.05
20110221,30.4,30.45,30.1,30.1,1070744,32352368,456,-0.25
20110222,29.9,29.9,29.15,29.25,2932579,86173778,1163,-0.85
20110223,29.0,29.45,29.0,29.0,1936630,56536270,813,-0.25
20110224,29.0,29.5,29.0,29.3,1692231,49663866,807,+0.30
20110225,29.5,29.7,29.35,29.65,1418813,41933759,515,+0.35
20110301,30.0,30.25,29.9,30.15,2094408,63032878,1064,+0.50
20110302,30.0,30.2,29.9,29.95,1415252,42480107,515,-0.20
20110303,30.3,30.9,30.3,30.7,2988898,91549122,1232,+0.75
20110304,32.0,32.2,31.15,31.3,6886468,216653043,2629,+0.60
20110307,31.5,31.5,31.0,31.15,1637007,51043164,852,-0.15
20110308,31.15,31.15,30.9,30.95,1502364,46594357,737,-0.20
20110309,31.0,31.0,30.6,30.7,3085820,95182288,923,-0.25
20110310,30.7,30.7,30.3,30.3,1673669,51030159,746,-0.40
20110311,29.9,30.3,29.8,30.1,1575961,47292165,615,-0.20
20110314,30.0,30.0,29.4,29.55,1802517,53265095,832,-0.55
20110315,29.55,29.7,27.6,28.5,3941186,112038450,1737,-1.05
20110316,29.0,29.0,28.5,28.7,2422090,69527676,768,+0.20
20110317,28.3,28.5,28.1,28.4,2254565,63890240,813,-0.30
20110318,28.6,29.7,28.55,29.45,2375025,68679727,877,+1.05
20110321,29.4,29.4,28.9,29.15,1507387,43861046,648,-0.30
20110322,29.45,29.45,29.2,29.25,913031,26778848,439,+0.10
20110323,29.3,29.35,29.15,29.25,777403,22750743,404, 0.00
20110324,29.3,29.6,29.25,29.4,2364407,69519320,719,+0.15
20110325,29.7,29.7,28.9,28.95,2532685,74009029,1207,-0.45
20110328,29.0,29.0,28.25,28.3,4301905,122321302,1495,-0.65
20110329,28.0,28.3,28.0,28.05,1990796,55932621,832,-0.25
20110330,28.15,28.45,28.1,28.4,852477,24161688,496,+0.35
20110331,28.5,28.7,28.4,28.4,1457229,41586897,613, 0.00
20110401,28.45,28.6,28.0,28.3,856976,24245567,459,-0.10
20110406,28.3,29.2,28.3,29.2,2672648,77384468,1279,+0.90
20110407,29.25,29.25,29.0,29.15,863767,25160375,473,-0.05
20110408,29.1,29.2,28.95,29.0,1195711,34770371,518,-0.15
20110411,29.0,29.2,28.8,29.0,890512,25796235,407, 0.00
20110412,29.0,29.0,28.7,28.85,868552,25038943,313,-0.15
20110413,28.9,29.85,28.7,29.8,2464616,72442566,897,+0.95
20110414,29.8,30.1,29.55,30.0,3425380,102421584,1157,+0.20
20110415,30.1,30.3,29.7,29.75,3074471,92246737,750,-0.25
20110418,30.25,30.3,30.0,30.15,3562876,107278730,1084,+0.40
20110419,29.9,30.0,29.4,29.8,1641372,48701124,577,-0.35
20110420,30.1,30.1,29.6,29.8,1280968,38185496,535, 0.00
20110421,30.0,30.2,29.7,29.8,1953543,58522266,659, 0.00
20110422,29.95,30.0,29.8,29.9,965207,28850502,348,+0.10
20110425,30.0,30.0,29.45,29.95,765283,22766729,323,+0.05
20110426,30.45,30.45,30.2,30.4,2818547,85527686,1034,+0.45
20110427,30.5,30.65,30.3,30.35,1257206,38298114,568,-0.05
20110428,30.35,30.5,29.85,30.05,1352070,40774839,563,-0.30
20110429,30.2,30.2,29.55,29.75,1059654,31586548,453,-0.30
20110503,29.95,30.3,29.9,29.95,1479320,44409230,722,+0.20
20110504,30.0,30.2,29.9,29.9,1423217,42711906,646,-0.05
20110505,29.9,30.25,29.8,30.2,1493325,44985309,550,+0.30
20110506,30.3,30.3,30.0,30.25,976606,29480166,396,+0.05
20110509,30.3,30.6,30.3,30.45,1342811,40925709,618,+0.20
20110510,30.45,30.45,30.05,30.15,1249978,37710790,450,-0.30
20110511,30.2,30.2,29.85,29.85,1483625,44481888,546,-0.30
20110512,29.85,30.15,29.85,29.9,897264,26921406,378,+0.05
20110513,30.05,30.5,30.0,30.25,1524430,46135953,599,+0.35
20110516,30.2,30.35,30.1,30.25,743375,22487584,230, 0.00
20110517,30.15,30.35,30.0,30.0,916832,27613670,338,-0.25
20110518,30.4,30.95,30.4,30.8,3693198,113485259,1426,+0.80
20110519,30.8,30.95,30.55,30.75,2253282,69204059,791,-0.05
20110520,30.8,30.9,30.4,30.4,1703914,52107397,491,-0.35
20110523,30.2,30.5,30.0,30.4,966878,29269248,406, 0.00
20110524,30.2,30.75,30.2,30.45,940974,28635508,325,+0.05
20110525,30.55,30.6,30.3,30.6,765605,23313950,394,+0.15
20110526,30.65,30.95,30.6,30.8,1376184,42390582,514,+0.20
20110527,30.8,30.9,30.65,30.65,1506554,46372645,507,-0.15
20110530,30.75,30.8,30.6,30.6,807760,24797427,303,-0.05
20110531,30.7,31.75,30.7,31.75,5035894,156982794,1671,+1.15
20110601,31.75,31.8,31.35,31.5,3449193,108989056,1149,-0.25
20110602,31.3,32.35,31.1,32.0,5419117,172509463,1965,+0.50
20110603,32.0,32.25,31.75,32.0,1495283,47821652,693, 0.00
20110607,32.0,32.0,31.65,31.9,1329395,42293857,609,-0.10
20110608,31.7,31.9,31.7,31.75,962237,30563695,442,-0.15
20110609,31.5,31.65,31.4,31.45,1259671,39690617,656,-0.30
20110610,31.5,32.0,31.1,31.7,3665429,115944559,1296,+0.25
20110613,31.4,31.55,30.95,31.1,2953693,92104933,1041,-0.60
20110614,31.35,31.45,30.9,30.95,2308218,71750237,897,-0.15
20110615,31.1,31.65,31.0,31.25,3124167,97901195,1284,+0.30
20110616,31.1,31.15,30.9,30.95,1695488,52603001,531,-0.30
20110617,31.2,32.3,30.55,32.3,6192105,194611165,1586,+1.35
20110620,32.1,32.1,31.1,31.2,2231974,70248489,805,-1.10
20110621,31.2,31.7,30.95,31.65,3073660,96499085,1250,+0.45
20110622,31.65,32.1,31.5,31.9,3568106,113694159,1113,+0.25
20110623,31.75,31.85,31.15,31.2,2500633,78553732,1512,-0.70
20110624,31.2,31.85,31.05,31.75,2644711,83347311,1078,+0.55
20110627,31.6,31.7,31.25,31.7,2553023,80316317,1221,-0.05
20110628,32.0,32.15,31.8,31.8,3739339,119482372,1498,+0.10
20110629,32.0,32.1,31.75,31.9,2339919,74826118,1121,+0.10
20110630,32.0,32.2,31.85,32.2,2847074,91324462,1146,+0.30
20110701,32.35,32.35,31.9,32.1,3071958,98716845,1166,-0.10
20110704,32.35,32.65,32.3,32.45,4401943,142974049,1731,+0.35
20110705,32.6,32.8,32.45,32.7,4053279,132348484,1650,+0.25
20110706,32.7,32.75,32.45,32.7,3500509,114186332,1490, 0.00
20110707,32.7,32.9,32.65,32.75,8092175,265166108,2461,+0.05
20110708,30.25,30.45,29.85,29.85,4640042,139872544,1431,X0.00
20110711,30.0,30.0,29.55,29.55,1566694,46433870,689,-0.30
20110712,29.25,29.5,28.85,29.3,2433726,70787519,805,-0.25
