date,open,high,low,close,volume,turnover,transactions,price_change
20140715,0.0,250.0,185.0,204.0,622211,128826807,331,0.0
20140716,207.05,205.99,198.0,199.0,272426,54559801,138,-6.78
20140717,200.27,199.0,195.7,196.5,174330,34437242,103,-2.73
20140718,197.54,195.0,184.01,189.0,166270,31514835,103,-8.0
20140721,189.54,186.0,180.01,184.0,287913,52872175,139,-5.9
20140722,183.64,188.5,185.0,187.99,109050,20378773,67,3.24
20140724,186.88,186.8,183.01,186.8,89979,16674359,42,-1.57
20140725,185.31,187.0,183.01,185.0,14108,2613098,13,-0.09
20140728,185.22,185.0,182.0,185.0,59350,10902380,33,-1.52
20140729,183.7,186.0,182.0,182.0,75001,13849386,32,0.96
20140730,184.66,183.5,180.01,180.01,140000,25367220,39,-3.47
20140731,181.19,183.99,177.0,181.0,181000,32638430,91,-0.87
20140801,180.32,181.0,176.0,181.0,21500,3824000,12,-2.46
20140804,177.86,181.01,179.0,180.0,64000,11550510,32,2.62
20140805,180.48,182.5,176.0,180.0,52987,9479715,26,-1.57
20140806,178.91,179.0,175.0,178.2,77728,13751198,50,-2.0
20140807,176.91,178.0,176.01,178.0,19000,3366060,15,0.25
20140808,177.16,178.0,174.0,174.0,68373,12025101,50,-1.29
20140811,175.87,177.0,169.67,175.0,37005,6502744,22,-0.14
20140812,175.73,175.0,171.01,175.0,6100,1052530,6,-3.18
20140813,172.55,183.14,171.01,180.0,308951,55587118,133,7.37
20140814,179.92,182.0,177.01,180.0,44501,7996755,33,-0.22
20140815,179.7,197.88,180.0,192.0,482086,89809191,240,6.59
20140818,186.29,200.0,192.01,199.99,349512,68462228,207,9.59
20140819,195.88,199.99,194.0,194.5,136716,26946244,105,1.22
20140820,197.1,196.99,190.5,190.8,122469,23517900,92,-5.07
20140821,192.03,191.0,187.0,189.49,40203,7634279,32,-2.14
20140822,189.89,189.49,184.01,185.0,90363,16767271,52,-4.34
20140825,185.55,186.99,180.0,186.99,82001,14915396,52,-3.66
20140826,181.89,189.99,180.01,183.0,109501,20184446,69,2.44
20140827,184.33,189.46,182.2,182.2,84101,15555999,56,0.64
20140828,184.97,189.44,183.01,185.99,31008,5715894,29,-0.63
20140829,184.34,189.46,183.0,184.7,97126,17943845,69,0.41
20140901,184.75,189.99,185.0,189.99,46554,8772518,33,3.69
20140902,188.44,189.99,184.02,184.41,30017,5558582,22,-3.26
20140903,185.18,189.98,184.41,186.0,23015,4262259,25,0.01
20140904,185.19,189.99,184.0,185.0,101140,18770124,73,0.4
20140905,185.59,186.5,184.0,184.6,48514,9005202,34,0.03
20140909,185.62,186.39,184.21,185.89,20602,3819474,16,-0.23
20140910,185.39,186.99,185.0,185.01,60325,11223450,38,0.66
20140911,186.05,186.55,183.02,184.0,103448,19102617,48,-1.39
20140912,184.66,185.99,183.0,184.0,40506,7430735,26,-1.21
20140915,183.45,189.46,182.1,183.91,121011,22293028,52,0.77
