journal_id,signal_date,logged_at,account,sid,name,template,tier,action,ref_close,limit_price,stop_loss,take_profit,position_pct_max,market_regime,in_position,real_entry,real_shares,reason,status,validated_at,fill_date,fill_price,bars_to_fill,exit_date,exit_price,exit_reason,realized_return,hold_days
2026-05-22_6770_Takeshi_SELL,2026-05-22,2026-05-24T11:37:47,Takeshi,6770,力積電,low_vol_pullback,B,SELL,63.8,,,,0.3,BULL,True,62.65,20,,filled,2026-05-25T21:37:06,2026-05-25,65.0,1.0,,,,,
2026-05-22_3189_Takeshi_SELL,2026-05-22,2026-05-24T11:37:47,Takeshi,3189,景碩,chip_momentum,B,SELL,609.0,,,,0.3,BULL,True,533.5,2,,filled,2026-05-25T21:37:06,2026-05-25,664.0,1.0,,,,,
2026-05-22_8046_Takeshi_SELL,2026-05-22,2026-05-24T11:37:47,Takeshi,8046,南電,mean_reversion,C,SELL,934.0,,,,0.15,BULL,True,874.0,2,,filled,2026-05-25T21:37:06,2026-05-25,940.0,1.0,,,,,
2026-05-22_2426_Katie_SELL,2026-05-22,2026-05-24T21:36:00,Katie,2426,鼎元,double_pullback,B,SELL,83.2,,,,0.3,BULL,False,,0,,filled,2026-05-25T21:37:07,2026-05-25,83.2,1.0,,,,,
2026-05-22_3711_universe_SELL,2026-05-22,2026-05-24T21:41:55,universe,3711,日月光投控,low_vol_pullback,C,SELL,561.0,,,,0.15,BULL,False,,0,,filled,2026-05-25T21:37:07,2026-05-25,598.0,1.0,,,,,
2026-05-22_3037_universe_SELL,2026-05-22,2026-05-24T21:41:55,universe,3037,欣興,narrow_range_breakout,C,SELL,970.0,,,,0.15,BULL,False,,0,,filled,2026-05-25T21:37:07,2026-05-25,1020.0,1.0,,,,,
2026-05-22_2360_universe_BUY,2026-05-22,2026-05-24T21:41:56,universe,2360,致茂,ensemble_dual_momentum,B,BUY,2270.0,2270.0,,,0.3,BULL,False,,0,,not_filled,2026-06-04T21:36:00,,,9,,,,,
2026-05-22_2353_universe_BUY,2026-05-22,2026-05-24T21:41:56,universe,2353,宏碁,donchian_breakout,C,BUY,29.55,28.9,,,0.15,BULL,False,,0,,not_filled,2026-06-04T21:36:01,,,9,,,,,
2026-05-22_2426_universe_SELL,2026-05-22,2026-05-24T21:41:56,universe,2426,鼎元,double_pullback,B,SELL,83.2,,,,0.3,BULL,False,,0,,filled,2026-05-25T21:37:07,2026-05-25,83.2,1.0,,,,,
2026-05-22_6770_universe_SELL,2026-05-22,2026-05-24T21:41:56,universe,6770,力積電,low_vol_pullback,B,SELL,63.8,,,,0.3,BULL,False,,0,,filled,2026-05-25T21:37:07,2026-05-25,65.0,1.0,,,,,
2026-05-22_3189_universe_SELL,2026-05-22,2026-05-24T21:41:56,universe,3189,景碩,chip_momentum,B,SELL,609.0,,,,0.3,BULL,False,,0,,filled,2026-05-25T21:37:07,2026-05-25,664.0,1.0,,,,,
2026-05-22_8046_universe_SELL,2026-05-22,2026-05-24T21:41:57,universe,8046,南電,mean_reversion,C,SELL,934.0,,,,0.15,BULL,False,,0,,filled,2026-05-25T21:37:07,2026-05-25,940.0,1.0,,,,,
