date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,11963537000,2015-01-11,
2015-02-01,2015,1,10754312000,2015-02-11,
2015-03-01,2015,2,10863966000,2015-03-11,
2015-04-01,2015,3,11756213000,2015-04-11,
2015-05-01,2015,4,10750328000,2015-05-11,
2015-06-01,2015,5,10924494000,2015-06-11,
2015-07-01,2015,6,11011618000,2015-07-11,
2015-08-01,2015,7,12801306000,2015-08-11,
2015-09-01,2015,8,12297183000,2015-09-11,
2015-10-01,2015,9,10915981000,2015-10-11,
2015-11-01,2015,10,11753620000,2015-11-11,
2015-12-01,2015,11,11261404000,2015-12-11,
2016-01-01,2015,12,12078119000,2016-01-11,0.00957760234285221
2016-02-01,2016,1,12035821000,2016-02-11,0.11916234157982397
2016-03-01,2016,2,11101503000,2016-03-11,0.021864667102235114
2016-04-01,2016,3,11768765000,2016-04-11,0.0010676907606217423
2016-05-01,2016,4,11305731000,2016-05-11,0.05166381900161565
2016-06-01,2016,5,11154002000,2016-06-11,0.021008570282522898
2016-07-01,2016,6,12008735000,2016-07-11,0.09055136129858488
2016-08-01,2016,7,13846077000,2016-08-11,0.08161440715502
2016-09-01,2016,8,13155846000,2016-09-11,0.06982599185520777
2016-10-01,2016,9,11885371000,2016-10-11,0.08880466171569923
2016-11-01,2016,10,11466962000,2016-11-11,-0.02438891167146806
2016-12-01,2016,11,11763511000,2016-12-11,0.04458653645673305
2017-01-01,2016,12,13187341000,2017-01-11,0.09183731340948031
2017-02-01,2017,1,13498481000,2017-02-11,0.12152556938159842
2017-03-01,2017,2,11252974000,2017-03-11,0.013644188539155389
2017-04-01,2017,3,13313242000,2017-04-11,0.13123526555250264
2017-05-01,2017,4,12667257000,2017-05-11,0.12042794932941536
2017-06-01,2017,5,13094609000,2017-06-11,0.17398302420960654
2017-07-01,2017,6,14438716000,2017-07-11,0.20235112191250781
2017-08-01,2017,7,14724625000,2017-08-11,0.0634510410421667
2017-09-01,2017,8,15500216000,2017-09-11,0.17819986643200303
2017-10-01,2017,9,12941580000,2017-10-11,0.0888663046361784
2017-11-01,2017,10,13901245000,2017-11-11,0.21228665447744577
2017-12-01,2017,11,13270918000,2017-12-11,0.1281426098041647
2018-01-01,2017,12,14957868000,2018-01-11,0.13425959031468127
2018-02-01,2018,1,14704050000,2018-02-11,0.08931145660019069
2018-03-01,2018,2,12974841000,2018-03-11,0.15301439423924723
2018-04-01,2018,3,15199431000,2018-04-11,0.141677661984962
