date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,2514987000,2015-01-11,
2015-02-01,2015,1,2040002000,2015-02-11,
2015-03-01,2015,2,1731339000,2015-03-11,
2015-04-01,2015,3,2422916000,2015-04-11,
2015-05-01,2015,4,2337114000,2015-05-11,
2015-06-01,2015,5,2132986000,2015-06-11,
2015-07-01,2015,6,2565437000,2015-07-11,
2015-08-01,2015,7,3269081000,2015-08-11,
2015-09-01,2015,8,2597642000,2015-09-11,
2015-10-01,2015,9,2634127000,2015-10-11,
2015-11-01,2015,10,2314679000,2015-11-11,
2015-12-01,2015,11,1855026000,2015-12-11,
2016-01-01,2015,12,2203677000,2016-01-11,-0.12378195195442365
2016-02-01,2016,1,1754794000,2016-02-11,-0.13980770607087645
2016-03-01,2016,2,1647463000,2016-03-11,-0.048445740551099514
2016-04-01,2016,3,2053296000,2016-04-11,-0.15255171867287187
2016-05-01,2016,4,1536867000,2016-05-11,-0.342408200883654
2016-06-01,2016,5,1897086000,2016-06-11,-0.1105961314326489
2016-07-01,2016,6,2185995000,2016-07-11,-0.14790540558976895
2016-08-01,2016,7,2023832000,2016-08-11,-0.3809171446042481
2016-09-01,2016,8,2282657000,2016-09-11,-0.12125804864565637
2016-10-01,2016,9,2013832000,2016-10-11,-0.23548409017484728
2016-11-01,2016,10,1740937000,2016-11-11,-0.2478710870924219
2016-12-01,2016,11,1992657000,2016-12-11,0.074193569254555
2017-01-01,2016,12,1696147000,2017-01-11,-0.23031052191405543
2017-02-01,2017,1,1382921000,2017-02-11,-0.21191832203666072
2017-03-01,2017,2,1462566000,2017-03-11,-0.11223135208499369
2017-04-01,2017,3,1942250000,2017-04-11,-0.054081827461798015
2017-05-01,2017,4,1516312000,2017-05-11,-0.013374612116728413
2017-06-01,2017,5,1923609000,2017-06-11,0.01398091599431961
2017-07-01,2017,6,1818581000,2017-07-11,-0.16807632222397584
2017-08-01,2017,7,2082826000,2017-08-11,0.029149652737974208
2017-09-01,2017,8,2542332000,2017-09-11,0.1137599735746544
2017-10-01,2017,9,1975974000,2017-10-11,-0.018798986211362223
2017-11-01,2017,10,1841372000,2017-11-11,0.05769019786471308
2017-12-01,2017,11,2062247000,2017-12-11,0.03492322060444919
2018-01-01,2017,12,1799676000,2018-01-11,0.06103775203446404
2018-02-01,2018,1,1882837000,2018-02-11,0.36149281123072097
2018-03-01,2018,2,1557966000,2018-03-11,0.06522782561607476
2018-04-01,2018,3,2322198000,2018-04-11,0.19562260265156395
2018-05-01,2018,4,1900118000,2018-05-11,0.2531180917911353
2018-06-01,2018,5,2820375000,2018-06-11,0.46618933473486557
2018-07-01,2018,6,2355534000,2018-07-11,0.29525932581501735
2018-08-01,2018,7,2487293000,2018-08-11,0.1941914495017827
