date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,27783641000,2015-01-11,
2015-02-01,2015,1,27339257000,2015-02-11,
2015-03-01,2015,2,23315011000,2015-03-11,
2015-04-01,2015,3,28871504000,2015-04-11,
2015-05-01,2015,4,28730095000,2015-05-11,
2015-06-01,2015,5,27106110000,2015-06-11,
2015-07-01,2015,6,26187624000,2015-07-11,
2015-08-01,2015,7,24451220000,2015-08-11,
2015-09-01,2015,8,23062164000,2015-09-11,
2015-10-01,2015,9,23791206000,2015-10-11,
2015-11-01,2015,10,23180126000,2015-11-11,
2015-12-01,2015,11,21968822000,2015-12-11,
2016-01-01,2015,12,21788696000,2016-01-11,-0.21577247560893842
2016-02-01,2016,1,21149257000,2016-02-11,-0.22641434622747791
2016-03-01,2016,2,18590104000,2016-03-11,-0.202655147792982
2016-04-01,2016,3,25729722000,2016-04-11,-0.10881947819552451
2016-05-01,2016,4,23618664000,2016-05-11,-0.17791208139061143
2016-06-01,2016,5,23324617000,2016-06-11,-0.13950703365403594
2016-07-01,2016,6,21300798000,2016-07-11,-0.18660822379304054
2016-08-01,2016,7,22723449000,2016-08-11,-0.07066195470001091
2016-09-01,2016,8,23196039000,2016-09-11,0.0058049626218945605
2016-10-01,2016,9,22981375000,2016-10-11,-0.03403908990574078
2016-11-01,2016,10,22769489000,2016-11-11,-0.017715046070068796
2016-12-01,2016,11,24350119000,2016-12-11,0.1083943872821218
2017-01-01,2016,12,25560798000,2017-01-11,0.1731219711358587
2017-02-01,2017,1,23998463000,2017-02-11,0.13471896435888975
2017-03-01,2017,2,22900325000,2017-03-11,0.2318556690161604
2017-04-01,2017,3,25777365000,2017-04-11,0.001851671774766972
2017-05-01,2017,4,24262987000,2017-05-11,0.027280247519503975
2017-06-01,2017,5,24608089000,2017-06-11,0.055026498398666135
2017-07-01,2017,6,25234496000,2017-07-11,0.1846737385143975
2017-08-01,2017,7,25272847000,2017-08-11,0.11219238769607554
2017-09-01,2017,8,26000918000,2017-09-11,0.12092060200450594
2017-10-01,2017,9,26587765000,2017-10-11,0.1569266416826669
2017-11-01,2017,10,26062520000,2017-11-11,0.14462472126625237
2017-12-01,2017,11,27390672000,2017-12-11,0.12486809612716887
2018-01-01,2017,12,28043505000,2018-01-11,0.09712947929090476
2018-02-01,2018,1,29161203000,2018-02-11,0.21512794381873546
2018-03-01,2018,2,23999666000,2018-03-11,0.04800547590481785
2018-04-01,2018,3,29059122000,2018-04-11,0.12731157742461274
2018-05-01,2018,4,27904180000,2018-05-11,0.15007191818550614
2018-06-01,2018,5,30047319000,2018-06-11,0.22103422984206533
2018-07-01,2018,6,28502591000,2018-07-11,0.1295090260570293
2018-08-01,2018,7,28430574000,2018-08-11,0.12494544045631262
2018-09-01,2018,8,29664186000,2018-09-11,0.14088994857796955
2018-10-01,2018,9,28593061000,2018-10-11,0.07542175884283608
2018-11-01,2018,10,27512745000,2018-11-11,0.05564408199974524
2018-12-01,2018,11,25374298000,2018-12-11,-0.07361535343127035
2019-01-01,2018,12,24809071000,2019-01-11,-0.11533629622973307
2019-02-01,2019,1,24994873000,2019-02-11,-0.14287236366757572
2019-03-01,2019,2,20957969000,2019-03-11,-0.12673913878634813
2019-04-01,2019,3,24967277000,2019-04-11,-0.14081103345104506
2019-05-01,2019,4,25074397000,2019-05-11,-0.10141072054437728
2019-06-01,2019,5,24787501000,2019-06-11,-0.175051158474405
2019-07-01,2019,6,21989854000,2019-07-11,-0.22849631459820618
2019-08-01,2019,7,24563010000,2019-08-11,-0.1360353821910173
2019-09-01,2019,8,23781522000,2019-09-11,-0.19830862711014552
2019-10-01,2019,9,23540826000,2019-10-11,-0.17669444345255658
2019-11-01,2019,10,24199415000,2019-11-11,-0.1204289139451552
2019-12-01,2019,11,23539431000,2019-12-11,-0.07231203007074327
2020-01-01,2019,12,23946748000,2020-01-11,-0.03475837527330228
2020-02-01,2020,1,22313695000,2020-02-11,-0.10726911875087342
2020-03-01,2020,2,19999005000,2020-03-11,-0.04575653299229521
2020-04-01,2020,3,23244809000,2020-04-11,-0.06898902110951066
2020-05-01,2020,4,20411078000,2020-05-11,-0.18597930789721484
2020-06-01,2020,5,19418507000,2020-06-11,-0.21660085863435774
2020-07-01,2020,6,20794995000,2020-07-11,-0.0543368318861962
2020-08-01,2020,7,21752364000,2020-08-11,-0.11442596001060135
2020-09-01,2020,8,22209740000,2020-09-11,-0.06609257388993017
2020-10-01,2020,9,23828101000,2020-10-11,0.012203267633854376
2020-11-01,2020,10,24739023000,2020-11-11,0.022298390271004553
2020-12-01,2020,11,26310187000,2020-12-11,0.11770700829599501
2021-01-01,2020,12,28327943000,2021-01-11,0.18295573996101688
2021-02-01,2021,1,29346765000,2021-02-11,0.31519073824393495
2021-03-01,2021,2,25991621000,2021-03-11,0.2996457073739418
2021-04-01,2021,3,34372304000,2021-04-11,0.478708816235057
2021-05-01,2021,4,34904534000,2021-05-11,0.7100779292499886
2021-06-01,2021,5,34484715000,2021-06-11,0.7758685052357526
2021-07-01,2021,6,34598733000,2021-07-11,0.6638009771101172
2021-08-01,2021,7,36795856000,2021-08-11,0.6915796370454264
2021-09-01,2021,8,37422239000,2021-09-11,0.6849471898365311
2021-10-01,2021,9,35710126000,2021-10-11,0.49865597766267644
2021-11-01,2021,10,37452644000,2021-11-11,0.5139095832523377
2021-12-01,2021,11,36046868000,2021-12-11,0.3700726642497827
2022-01-01,2021,12,34539153000,2022-01-11,0.21926089021006567
2022-02-01,2022,1,35266502000,2022-02-11,0.20171685022182162
2022-03-01,2022,2,29823052000,2022-03-11,0.14741023655277208
2022-04-01,2022,3,37002485000,2022-04-11,0.07652035778573363
2022-05-01,2022,4,29697081000,2022-05-11,-0.14919130563381822
2022-06-01,2022,5,32883176000,2022-06-11,-0.04644199611335054
2022-07-01,2022,6,32151862000,2022-07-11,-0.07072140474045685
2022-08-01,2022,7,27970940000,2022-08-11,-0.2398345074510565
2022-09-01,2022,8,27507669000,2022-09-11,-0.2649379156602575
2022-10-01,2022,9,27109813000,2022-10-11,-0.24083681474548702
2022-11-01,2022,10,26628431000,2022-11-11,-0.28901065035622053
2022-12-01,2022,11,25203688000,2022-12-11,-0.30080782607798273
2023-01-01,2022,12,23938601000,2023-01-11,-0.30691406937512333
2023-02-01,2023,1,20289828000,2023-02-11,-0.42467137795520515
2023-03-01,2023,2,21842845000,2023-03-11,-0.26758518879959037
2023-04-01,2023,3,23641103000,2023-04-11,-0.3610941805665214
2023-05-01,2023,4,21354749000,2023-05-11,-0.28091420836950276
2023-06-01,2023,5,22593257000,2023-06-11,-0.3129235144439819
2023-07-01,2023,6,19790189000,2023-07-11,-0.38447767037566905
2023-08-01,2023,7,21514529000,2023-08-11,-0.23082567121448194
2023-09-01,2023,8,23595589000,2023-09-11,-0.1422177938814081
2023-10-01,2023,9,22141297000,2023-10-11,-0.18327370978176794
2023-11-01,2023,10,21722488000,2023-11-11,-0.18423702846029488
2023-12-01,2023,11,20935267000,2023-12-11,-0.1693570004516799
2024-01-01,2023,12,20166589000,2024-01-11,-0.15757027739423868
2024-02-01,2024,1,20392952000,2024-02-11,0.005082546781569608
2024-03-01,2024,2,16711275000,2024-03-11,-0.23493139286571874
2024-04-01,2024,3,21525681000,2024-04-11,-0.08948068116787955
2024-05-01,2024,4,21880031000,2024-05-11,0.024597900916559556
2024-06-01,2024,5,22713683000,2024-06-11,0.005330174396723786
2024-07-01,2024,6,21812622000,2024-07-11,0.10219371831163415
2024-08-01,2024,7,22531108000,2024-08-11,0.04725081362459749
2024-09-01,2024,8,22463979000,2024-09-11,-0.047958540047463916
2024-10-01,2024,9,21428221000,2024-10-11,-0.032205701409452225
2024-11-01,2024,10,22758378000,2024-11-11,0.04768744722059459
2024-12-01,2024,11,21965473000,2024-12-11,0.04920911684575113
2025-01-01,2024,12,23431902000,2025-01-11,0.16191697068849864
2025-02-01,2025,1,20458289000,2025-02-11,0.0032039010340434437
2025-03-01,2025,2,22080604000,2025-03-11,0.32129978113579005
2025-04-01,2025,3,23012738000,2025-04-11,0.06908292471676036
2025-05-01,2025,4,23176793000,2025-05-11,0.059266917857657475
2025-06-01,2025,5,21949304000,2025-06-11,-0.03365279862363135
2025-07-01,2025,6,20589873000,2025-07-11,-0.05605694721157317
2025-08-01,2025,7,21152898000,2025-08-11,-0.061169206592059266
2025-09-01,2025,8,20853020000,2025-09-11,-0.07171298548667626
2025-10-01,2025,9,22171572000,2025-10-11,0.03469028063505597
2025-11-01,2025,10,21229355000,2025-11-11,-0.06718506037644689
2025-12-01,2025,11,21130715000,2025-12-11,-0.038003188003281285
2026-01-01,2025,12,22097720000,2026-01-11,-0.056938698360892714
2026-02-01,2026,1,22872625000,2026-02-11,0.11801260603953723
2026-03-01,2026,2,18556362000,2026-03-11,-0.15960804333069878
2026-04-01,2026,3,27167406000,2026-04-11,0.18053775261335692
