date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,2488593000,2015-01-11,
2015-02-01,2015,1,2804194000,2015-02-11,
2015-03-01,2015,2,2092893000,2015-03-11,
2015-04-01,2015,3,2548965000,2015-04-11,
2015-05-01,2015,4,2648445000,2015-05-11,
2015-06-01,2015,5,2370525000,2015-06-11,
2015-07-01,2015,6,2129102000,2015-07-11,
2015-08-01,2015,7,2302723000,2015-08-11,
2015-09-01,2015,8,2569358000,2015-09-11,
2015-10-01,2015,9,3039378000,2015-10-11,
2015-11-01,2015,10,2982596000,2015-11-11,
2015-12-01,2015,11,3366443000,2015-12-11,
2016-01-01,2015,12,2891187000,2016-01-11,0.16177575039389724
2016-02-01,2016,1,3257032000,2016-02-11,0.16148597422289623
2016-03-01,2016,2,2289051000,2016-03-11,0.09372576620018314
2016-04-01,2016,3,3441101000,2016-04-11,0.34999931344683044
2016-05-01,2016,4,3476643000,2016-05-11,0.3127110436501419
2016-06-01,2016,5,3325449000,2016-06-11,0.4028322839877243
2016-07-01,2016,6,3044714000,2016-07-11,0.43004609455066034
2016-08-01,2016,7,3168056000,2016-08-11,0.37578684018876785
2016-09-01,2016,8,3461014000,2016-09-11,0.34703455104349024
2016-10-01,2016,9,3650291000,2016-10-11,0.2009993492089499
2016-11-01,2016,10,3463970000,2016-11-11,0.16139430214484296
2016-12-01,2016,11,3343474000,2016-12-11,-0.006822928533172901
2017-01-01,2016,12,2993236000,2017-01-11,0.03529657542040687
2017-02-01,2017,1,3516214000,2017-02-11,0.07957612943317716
2017-03-01,2017,2,3046900000,2017-03-11,0.3310756291581096
2017-04-01,2017,3,3420324000,2017-04-11,-0.006037893104561598
2017-05-01,2017,4,3433425000,2017-05-11,-0.01243095710431008
2017-06-01,2017,5,3299050000,2017-06-11,-0.007938476879362777
2017-07-01,2017,6,3219047000,2017-07-11,0.05725759463778868
2017-08-01,2017,7,3430779000,2017-08-11,0.08292877398631848
2017-09-01,2017,8,3597289000,2017-09-11,0.039374298977120636
2017-10-01,2017,9,3923389000,2017-10-11,0.0748154051279748
