date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,3756556000,2015-01-11,
2015-02-01,2015,1,4776836000,2015-02-11,
2015-03-01,2015,2,4111198000,2015-03-11,
2015-04-01,2015,3,5425116000,2015-04-11,
2015-05-01,2015,4,4732656000,2015-05-11,
2015-06-01,2015,5,5374653000,2015-06-11,
2015-07-01,2015,6,6655200000,2015-07-11,
2015-08-01,2015,7,7456802000,2015-08-11,
2015-09-01,2015,8,4743757000,2015-09-11,
2015-10-01,2015,9,6458319000,2015-10-11,
2015-11-01,2015,10,6554090000,2015-11-11,
2015-12-01,2015,11,6383063000,2015-12-11,
2016-01-01,2015,12,7298973000,2016-01-11,0.9429959249908693
2016-02-01,2016,1,6682321000,2016-02-11,0.3989010717554464
2016-03-01,2016,2,3976725000,2016-03-11,-0.032708957340415123
2016-04-01,2016,3,5965937000,2016-04-11,0.09968837532690555
2016-05-01,2016,4,5323719000,2016-05-11,0.12489033641997227
2016-06-01,2016,5,5886594000,2016-06-11,0.09525098643577556
2016-07-01,2016,6,6985644000,2016-07-11,0.04965200144248105
2016-08-01,2016,7,6809967000,2016-08-11,-0.08674429064899403
2016-09-01,2016,8,8331877000,2016-09-11,0.7563878166609292
2016-10-01,2016,9,8028403000,2016-10-11,0.24311032019322676
2016-11-01,2016,10,8645124000,2016-11-11,0.31904261308587456
2016-12-01,2016,11,8787449000,2016-12-11,0.37668216653979436
2017-01-01,2016,12,8538386000,2017-01-11,0.169806491954416
2017-02-01,2017,1,6846741000,2017-02-11,0.02460522324503711
2017-03-01,2017,2,4905589000,2017-03-11,0.23357511520157925
2017-04-01,2017,3,5795730000,2017-04-11,-0.02852980177296538
2017-05-01,2017,4,5724533000,2017-05-11,0.07528834636088044
2017-06-01,2017,5,7009746000,2017-06-11,0.19079827825734208
2017-07-01,2017,6,7961004000,2017-07-11,0.13962349069033575
2017-08-01,2017,7,8642673000,2017-08-11,0.26912112789973874
2017-09-01,2017,8,8591408000,2017-09-11,0.031149163627835597
2017-10-01,2017,9,9671606000,2017-10-11,0.20467370658896922
2017-11-01,2017,10,9033119000,2017-11-11,0.044880212244497564
2017-12-01,2017,11,10012630000,2017-12-11,0.13942396706939642
2018-01-01,2017,12,9863950000,2018-01-11,0.15524760768604273
2018-02-01,2018,1,9448229000,2018-02-11,0.37996004230333824
2018-03-01,2018,2,7143323000,2018-03-11,0.4561601063603167
2018-04-01,2018,3,7532872000,2018-04-11,0.2997279031286826
2018-05-01,2018,4,8544705000,2018-05-11,0.4926466490803705
2018-06-01,2018,5,8628877000,2018-06-11,0.23098283447074963
2018-07-01,2018,6,8750704000,2018-07-11,0.09919603105336972
2018-08-01,2018,7,8642561000,2018-08-11,-1.2958953786612604e-05
2018-09-01,2018,8,8659047000,2018-09-11,0.007872865541945995
2018-10-01,2018,9,8069456000,2018-10-11,-0.16565501117394565
2018-11-01,2018,10,8455132000,2018-11-11,-0.06398531891365544
2018-12-01,2018,11,9083812000,2018-12-11,-0.0927646382618752
2019-01-01,2018,12,8390762000,2019-01-11,-0.14935071649795473
2019-02-01,2019,1,9610233000,2019-02-11,0.01714649380323019
2019-03-01,2019,2,7245373000,2019-03-11,0.014286068262628016
2019-04-01,2019,3,8159465000,2019-04-11,0.08318115587255437
2019-05-01,2019,4,8688309000,2019-05-11,0.01680619752232526
2019-06-01,2019,5,8466627000,2019-06-11,-0.018803142054290456
2019-07-01,2019,6,7603175000,2019-07-11,-0.13113562063120865
2019-08-01,2019,7,9976930000,2019-08-11,0.15439509191777767
2019-09-01,2019,8,9361347000,2019-09-11,0.08110592308830289
2019-10-01,2019,9,8620518000,2019-10-11,0.06828985745755345
2019-11-01,2019,10,9080710000,2019-11-11,0.07398796375976158
2019-12-01,2019,11,10088221000,2019-12-11,0.11057131081092386
2020-01-01,2019,12,10894866000,2020-01-11,0.29843582740161145
2020-02-01,2020,1,9794379000,2020-02-11,0.01916145009179271
2020-03-01,2020,2,7687754000,2020-03-11,0.0610570359869671
2020-04-01,2020,3,7325433000,2020-04-11,-0.10221650561648343
2020-05-01,2020,4,8020293000,2020-05-11,-0.07688676818469509
2020-06-01,2020,5,8649241000,2020-06-11,0.0215686837272977
2020-07-01,2020,6,10007905000,2020-07-11,0.31627971209396066
2020-08-01,2020,7,12130778000,2020-08-11,0.2158828417158385
2020-09-01,2020,8,10445001000,2020-09-11,0.11575834118743811
2020-10-01,2020,9,9260523000,2020-10-11,0.07424205830786512
2020-11-01,2020,10,8527153000,2020-11-11,-0.06095966064327574
2020-12-01,2020,11,12117942000,2020-12-11,0.20119711889737557
2021-01-01,2020,12,11683252000,2021-01-11,0.072363074497658
2021-02-01,2021,1,12753316000,2021-02-11,0.3021056260943138
2021-03-01,2021,2,9491671000,2021-03-11,0.23464811699229715
2021-04-01,2021,3,12345740000,2021-04-11,0.6853256319455792
