date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,12819130000,2015-01-11,
2015-02-01,2015,1,11504684000,2015-02-11,
2015-03-01,2015,2,11641652000,2015-03-11,
2015-04-01,2015,3,12140769000,2015-04-11,
2015-05-01,2015,4,11240557000,2015-05-11,
2015-06-01,2015,5,12001890000,2015-06-11,
2015-07-01,2015,6,11619364000,2015-07-11,
2015-08-01,2015,7,10987841000,2015-08-11,
2015-09-01,2015,8,11423004000,2015-09-11,
2015-10-01,2015,9,10663419000,2015-10-11,
2015-11-01,2015,10,10360173000,2015-11-11,
2015-12-01,2015,11,11000627000,2015-12-11,
2016-01-01,2015,12,9306768000,2016-01-11,-0.2739937889700783
2016-02-01,2016,1,10106079000,2016-02-11,-0.12156831078541575
2016-03-01,2016,2,9749684000,2016-03-11,-0.1625171410380588
2016-04-01,2016,3,8713744000,2016-04-11,-0.2822741294229385
2016-05-01,2016,4,8428519000,2016-05-11,-0.250168919565107
2016-06-01,2016,5,11151147000,2016-06-11,-0.0708840857564933
2016-07-01,2016,6,10187215000,2016-07-11,-0.1232553692267494
2016-08-01,2016,7,10571724000,2016-08-11,-0.03787067905332808
2016-09-01,2016,8,10146401000,2016-09-11,-0.1117572050224267
2016-10-01,2016,9,11217865000,2016-10-11,0.051995143396315946
2016-11-01,2016,10,10735881000,2016-11-11,0.03626464538767826
2016-12-01,2016,11,12129072000,2016-12-11,0.10258006202737358
2017-01-01,2016,12,11353512000,2017-01-11,0.2199199550262776
2017-02-01,2017,1,12713311000,2017-02-11,0.2579865049540975
2017-03-01,2017,2,10275122000,2017-03-11,0.05389282360330849
2017-04-01,2017,3,11546538000,2017-04-11,0.3250949304914168
2017-05-01,2017,4,10818008000,2017-05-11,0.28350045838420734
2017-06-01,2017,5,13534968000,2017-06-11,0.21377361449902876
2017-07-01,2017,6,12654986000,2017-07-11,0.24224196701453726
2017-08-01,2017,7,14313922000,2017-08-11,0.35398181034616494
2017-09-01,2017,8,13763911000,2017-09-11,0.35653134544948495
2017-10-01,2017,9,13447405000,2017-10-11,0.19874904895004541
2017-11-01,2017,10,12425499000,2017-11-11,0.15738047021944457
2017-12-01,2017,11,12593533000,2017-12-11,0.038293201656318
2018-01-01,2017,12,12367770000,2018-01-11,0.08933429585488617
2018-02-01,2018,1,13038444000,2018-02-11,0.025574219021307742
2018-03-01,2018,2,12447767000,2018-03-11,0.2114471244234375
2018-04-01,2018,3,11283332000,2018-04-11,-0.02279523091683411
2018-05-01,2018,4,12535774000,2018-05-11,0.15878764371407383
2018-06-01,2018,5,12831337000,2018-06-11,-0.051986159110239516
2018-07-01,2018,6,13522678000,2018-07-11,0.06856522796627362
2018-08-01,2018,7,14482922000,2018-08-11,0.011806687223809176
2018-09-01,2018,8,14958617000,2018-09-11,0.0867998928502225
2018-10-01,2018,9,15308182000,2018-10-11,0.13837442986211834
2018-11-01,2018,10,15269163000,2018-11-11,0.2288571267842039
2018-12-01,2018,11,16361096000,2018-12-11,0.29916648489347675
2019-01-01,2018,12,17138877000,2019-01-11,0.38576938283942863
2019-02-01,2019,1,16825925000,2019-02-11,0.2904856591783498
2019-03-01,2019,2,14266750000,2019-03-11,0.14612926157759865
2019-04-01,2019,3,14554888000,2019-04-11,0.2899459131398421
2019-05-01,2019,4,15309434000,2019-05-11,0.22125957280340258
2019-06-01,2019,5,16143480000,2019-06-11,0.25812921911411113
