date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,773267000,2015-01-11,
2015-02-01,2015,1,577780000,2015-02-11,
2015-03-01,2015,2,406373000,2015-03-11,
2015-04-01,2015,3,822860000,2015-04-11,
2015-05-01,2015,4,816903000,2015-05-11,
2015-06-01,2015,5,712014000,2015-06-11,
2015-07-01,2015,6,630273000,2015-07-11,
2015-08-01,2015,7,623643000,2015-08-11,
2015-09-01,2015,8,546087000,2015-09-11,
2015-10-01,2015,9,518139000,2015-10-11,
2015-11-01,2015,10,602150000,2015-11-11,
2015-12-01,2015,11,590032000,2015-12-11,
2016-01-01,2015,12,688544000,2016-01-11,-0.10956500148073045
2016-02-01,2016,1,512448000,2016-02-11,-0.11307418048392126
2016-03-01,2016,2,340552000,2016-03-11,-0.1619718829745086
2016-04-01,2016,3,694691000,2016-04-11,-0.1557603966652894
2016-05-01,2016,4,661272000,2016-05-11,-0.19051343917209262
2016-06-01,2016,5,746851000,2016-06-11,0.04892740873072721
2016-07-01,2016,6,683983000,2016-07-11,0.08521704086959137
2016-08-01,2016,7,685094000,2016-08-11,0.09853554036524104
2016-09-01,2016,8,665181000,2016-09-11,0.21808612913327008
2016-10-01,2016,9,630119000,2016-10-11,0.21611961269080315
2016-11-01,2016,10,636352000,2016-11-11,0.05679980071410773
2016-12-01,2016,11,630567000,2016-12-11,0.06869966374705094
2017-01-01,2016,12,714799000,2017-01-11,0.03813118696844353
2017-02-01,2017,1,483512000,2017-02-11,-0.05646621706007249
2017-03-01,2017,2,520385000,2017-03-11,0.5280632619981678
2017-04-01,2017,3,741647000,2017-04-11,0.06759264190841674
2017-05-01,2017,4,6058829000,2017-05-11,8.162385523657436
2017-06-01,2017,5,726469000,2017-06-11,-0.02729058406563023
2017-07-01,2017,6,743766000,2017-07-11,0.08740421911070895
2017-08-01,2017,7,674981000,2017-08-11,-0.014761477986962368
2017-09-01,2017,8,710351000,2017-09-11,0.06790632925474416
2017-10-01,2017,9,3851321000,2017-10-11,5.112053437525293
2017-11-01,2017,10,885129000,2017-11-11,0.3909424343759429
2017-12-01,2017,11,1083362000,2017-12-11,0.7180759538637449
2018-01-01,2017,12,1328392000,2018-01-11,0.8584133441708788
2018-02-01,2018,1,799851000,2018-02-11,0.6542526348880691
2018-03-01,2018,2,528591000,2018-03-11,0.015769094036146347
2018-04-01,2018,3,1134630000,2018-04-11,0.5298787698190648
2018-05-01,2018,4,878438000,2018-05-11,-0.8550152182872301
2018-06-01,2018,5,924115000,2018-06-11,0.2720639146336594
2018-07-01,2018,6,815023000,2018-07-11,0.0958056700628962
2018-08-01,2018,7,819503000,2018-08-11,0.21411269354248486
2018-09-01,2018,8,822567000,2018-09-11,0.15797260790792156
2018-10-01,2018,9,790785000,2018-10-11,-0.7946717502903549
2018-11-01,2018,10,2352374000,2018-11-11,1.6576623294457642
2018-12-01,2018,11,911615000,2018-12-11,-0.15853149732037863
2019-01-01,2018,12,2087448000,2019-01-11,0.5714096441411873
2019-02-01,2019,1,1000806000,2019-02-11,0.2512405435512364
2019-03-01,2019,2,734577000,2019-03-11,0.3896888142249868
2019-04-01,2019,3,1397031000,2019-04-11,0.23126569895031857
2019-05-01,2019,4,1164314000,2019-05-11,0.3254367411245871
2019-06-01,2019,5,1062089000,2019-06-11,0.14930392862360198
2019-07-01,2019,6,1096794000,2019-07-11,0.34572153178499265
2019-08-01,2019,7,1066460000,2019-08-11,0.30134972050132824
2019-09-01,2019,8,873566000,2019-09-11,0.06199981278120803
2019-10-01,2019,9,911103000,2019-10-11,0.15215007871924735
2019-11-01,2019,10,904146000,2019-11-11,-0.6156453012998784
2019-12-01,2019,11,987491000,2019-12-11,0.08323250495000623
