date,revenue_year,revenue_month,revenue,announcement_date,revenue_growth_yoy_pct
2015-01-01,2014,12,36730395000,2015-01-11,
2015-02-01,2015,1,29873270000,2015-02-11,
2015-03-01,2015,2,25628316000,2015-03-11,
2015-04-01,2015,3,33801821000,2015-04-11,
2015-05-01,2015,4,31032456000,2015-05-11,
2015-06-01,2015,5,28455194000,2015-06-11,
2015-07-01,2015,6,31204751000,2015-07-11,
2015-08-01,2015,7,32214051000,2015-08-11,
2015-09-01,2015,8,32704230000,2015-09-11,
2015-10-01,2015,9,40504343000,2015-10-11,
2015-11-01,2015,10,35164361000,2015-11-11,
2015-12-01,2015,11,36336955000,2015-12-11,
2016-01-01,2015,12,38550111000,2016-01-11,0.04954251104568841
2016-02-01,2016,1,30106120000,2016-02-11,0.007794593628350777
2016-03-01,2016,2,28774620000,2016-03-11,0.1227667085110078
2016-04-01,2016,3,36482851000,2016-04-11,0.07931614098542217
2016-05-01,2016,4,33935792000,2016-05-11,0.0935580477420157
2016-06-01,2016,5,34182975000,2016-06-11,0.2012912299947771
2016-07-01,2016,6,40212275000,2016-07-11,0.2886587366135369
2016-08-01,2016,7,34820948000,2016-08-11,0.08092422154543688
2016-09-01,2016,8,37775130000,2016-09-11,0.15505333713712255
2016-10-01,2016,9,39057642000,2016-10-11,-0.03571718222907605
2016-11-01,2016,10,37052098000,2016-11-11,0.05368324480572806
2016-12-01,2016,11,37643759000,2016-12-11,0.03596349776694274
2017-01-01,2016,12,38448110000,2017-01-11,-0.0026459327185853754
2017-02-01,2017,1,30270900000,2017-02-11,0.005473305759759128
2017-03-01,2017,2,31938730000,2017-03-11,0.10996183442214003
2017-04-01,2017,3,37545625000,2017-04-11,0.02913078256959678
2017-05-01,2017,4,34669953000,2017-05-11,0.021633825431273346
2017-06-01,2017,5,34550863000,2017-06-11,0.010762316621066415
2017-07-01,2017,6,41898846000,2017-07-11,0.04194169566382411
2017-08-01,2017,7,39480338000,2017-08-11,0.1338099697917472
2017-09-01,2017,8,41493927000,2017-09-11,0.09844564399910727
2017-10-01,2017,9,42985139000,2017-10-11,0.10055642888016636
2017-11-01,2017,10,43179481000,2017-11-11,0.16537209309982925
2017-12-01,2017,11,45043375000,2017-12-11,0.1965695296264116
2018-01-01,2017,12,44455032000,2018-01-11,0.15623451972021507
2018-02-01,2018,1,36434504000,2018-02-11,0.20361482479873416
2018-03-01,2018,2,28878962000,2018-03-11,-0.09580117932053023
2018-04-01,2018,3,39495911000,2018-04-11,0.05194442761307072
2018-05-01,2018,4,38372327000,2018-05-11,0.10678912659616246
2018-06-01,2018,5,43621743000,2018-06-11,0.26253700233189536
2018-07-01,2018,6,44905962000,2018-07-11,0.07177085497772429
2018-08-01,2018,7,43161846000,2018-08-11,0.09324915100777509
2018-09-01,2018,8,49871828000,2018-09-11,0.20190667901835369
2018-10-01,2018,9,48038916000,2018-10-11,0.11757033052748755
