date,foreign_net,trust_net
2014-12-19,932000,568000
2014-12-22,223000,107000
2014-12-23,294000,376000
2014-12-24,195000,95000
2014-12-25,66000,0
2014-12-26,115000,238000
2014-12-27,-1000,568000
2014-12-29,467000,176000
2014-12-30,151574,25000
2014-12-31,69029,52000
2015-01-05,73000,102000
2015-01-06,89000,75000
2015-01-07,106000,103000
2015-01-08,51714,8000
2015-01-09,63000,3000
2015-01-12,173000,30000
2015-01-13,53000,0
2015-01-14,-35000,6000
2015-01-15,16000,14000
2015-01-16,-1000,30000
2015-01-19,132001,0
2015-01-20,-5000,0
2015-01-21,3000,-5000
2015-01-22,-50000,0
2015-01-23,-138000,-20000
2015-01-26,179300,-3000
2015-01-27,122000,30000
2015-01-28,67000,16000
2015-01-29,6000,-30000
2015-01-30,92000,0
2015-02-02,209000,-179000
2015-02-03,190000,7000
2015-02-04,104000,0
2015-02-05,-47000,35000
2015-02-06,52000,0
2015-02-09,83000,-83000
2015-02-10,239000,-24000
2015-02-11,-26000,79000
2015-02-12,13000,40000
2015-02-13,41000,-20000
2015-02-24,74000,-20000
2015-02-25,274070,34000
2015-02-26,69000,60000
2015-03-02,22000,25000
2015-03-03,-4000,-86000
2015-03-04,161000,60000
2015-03-05,552000,27000
2015-03-06,29000,0
2015-03-09,20000,-156000
2015-03-10,142000,-267000
2015-03-11,62000,-101000
2015-03-12,9000,11990
2015-03-13,-56500,-48000
2015-03-16,78000,0
2015-03-17,-3000,0
2015-03-18,-106000,0
2015-03-19,42000,-144000
2015-03-20,130000,-101000
2015-03-23,77000,-100000
2015-03-24,-85300,-50000
2015-03-25,31000,-50000
2015-03-26,28000,-58000
2015-03-27,17000,-20000
2015-03-30,46000,-25000
2015-03-31,-55000,-11000
2015-04-01,508000,-130000
2015-04-02,149000,38000
2015-04-07,55000,11000
2015-04-08,118000,-75000
2015-04-09,42875,8000
2015-04-10,167000,5000
2015-04-13,-40000,-41000
2015-04-14,-22000,-60000
2015-04-15,13000,-110000
2015-04-16,65900,-37000
2015-04-17,14000,-88000
2015-04-20,15000,-126000
2015-04-21,78000,-55000
2015-04-22,66000,-44000
2015-04-23,257719,-53000
2015-04-24,271000,13000
2015-04-27,178000,84000
2015-04-28,143281,5000
2015-04-29,23000,0
2015-04-30,204000,30000
2015-05-04,52000,0
2015-05-05,32000,0
2015-05-06,13000,0
2015-05-07,12000,0
2015-05-08,-11000,0
2015-05-11,126000,0
2015-05-12,19008,0
2015-05-13,9000,4000
2015-05-14,-5000,0
2015-05-15,9000,0
2015-05-18,7992,0
2015-05-19,-13000,0
2015-05-20,-59000,0
2015-05-21,-15000,0
2015-05-22,-211150,-25000
2015-05-25,-44000,-8000
2015-05-26,100000,-7000
2015-05-27,99725,33000
2015-05-28,-98300,0
2015-05-29,17000,-73000
2015-06-01,19875,-1000
2015-06-02,-20000,15000
2015-06-03,68000,10000
2015-06-04,-44000,55
2015-06-05,-34000,0
2015-06-08,-17000,0
2015-06-09,4000,0
2015-06-10,28000,0
2015-06-11,30000,0
2015-06-12,27904,0
2015-06-15,-5000,0
2015-06-16,-43000,0
2015-06-17,-75000,-4000
2015-06-18,-52000,-57000
2015-06-22,-110000,-38000
2015-06-23,-65000,-17000
2015-06-24,-66000,-28000
2015-06-25,-39000,-12000
2015-06-26,-26000,-4000
2015-06-29,-25000,0
2015-06-30,-8000,0
2015-07-01,2000,-14000
2015-07-02,-12000,10000
2015-07-03,-23000,-14000
2015-07-06,-3000,0
2015-07-07,-12100,0
2015-07-08,-49000,0
2015-07-09,-17000,0
2015-07-13,-14000,0
2015-07-14,-29000,-61000
2015-07-15,-82000,0
2015-07-16,-77300,0
2015-07-17,-3000,-10000
2015-07-20,-32000,-10000
2015-07-21,-191175,-4000
2015-07-22,-60000,-8000
2015-07-23,-47000,-12000
2015-07-24,11000,-28000
2015-07-27,-22000,-2000
2015-07-28,-11000,-18000
2015-07-29,-122000,0
2015-07-30,6000,-50000
2015-07-31,-15000,-80000
