date,foreign_net,trust_net
2013-01-02,125000,-12000
2013-01-03,296000,-1000
2013-01-04,156000,-2000
2013-01-07,-4000,-370000
2013-01-08,7000,0
2013-01-09,87000,0
2013-01-10,472000,0
2013-01-11,277000,5000
2013-01-14,-350000,0
2013-01-15,118000,2000
2013-01-16,11000,1000
2013-01-17,204000,2000
2013-01-18,240000,0
2013-01-21,44000,1000
2013-01-22,271000,0
2013-01-23,5000,-1000
2013-01-24,-24000,-1000
2013-01-25,129000,-1000
2013-01-28,17000,0
2013-01-29,-155569,0
2013-01-30,189000,0
2013-01-31,-63000,0
2013-02-01,227000,0
2013-02-04,111000,-331000
2013-02-05,-63000,58000
2013-02-06,134000,-7000
2013-02-18,-54000,-200000
2013-02-19,-239581,-303000
2013-02-20,116000,-300000
2013-02-21,164000,-128000
2013-02-22,-111569,-6000
2013-02-23,0,-3000
2013-02-25,155000,0
2013-02-26,411000,0
2013-02-27,-134000,0
2013-03-01,80000,0
2013-03-04,-424000,0
2013-03-05,345000,0
2013-03-06,231000,-1000
2013-03-07,140000,0
2013-03-08,-8000,-5000
2013-03-11,181000,-2000
2013-03-12,488000,0
2013-03-13,387000,-53000
2013-03-14,210000,-2000
2013-03-15,963000,-455000
2013-03-18,-77000,-705000
2013-03-19,260000,0
2013-03-20,-16000,0
2013-03-21,81370,0
2013-03-22,280000,-496000
2013-03-25,0,-494000
2013-03-26,169842,-500000
2013-03-27,13000,-417000
2013-03-28,54379,-600000
2013-03-29,-205000,-600000
2013-04-01,-11000,-339000
2013-04-02,507000,0
2013-04-03,408000,0
2013-04-08,204376,0
2013-04-09,523000,0
2013-04-10,-244000,0
2013-04-11,630000,0
2013-04-12,-19000,-2000
2013-04-15,79000,-3000
2013-04-16,110000,0
2013-04-17,939000,-75000
2013-04-18,441000,-16000
2013-04-19,648000,0
2013-04-22,133000,-142000
2013-04-23,552336,-7000
2013-04-24,986000,-2000
2013-04-25,104000,-8000
2013-04-26,589000,-7000
2013-04-29,641000,-3000
2013-04-30,584000,0
2013-05-02,1246885,0
2013-05-03,129000,-13000
2013-05-06,1550000,-6000
2013-05-07,928294,0
2013-05-08,689095,-1000
2013-05-09,1354523,-2000
2013-05-10,10000,0
2013-05-13,71000,-195215
2013-05-14,767858,-2000
2013-05-15,740000,0
2013-05-16,920000,0
2013-05-17,910000,0
2013-05-20,846000,-4000
2013-05-21,425000,0
2013-05-22,1470000,-19000
2013-05-23,341000,0
2013-05-24,354000,-7000
2013-05-27,17000,0
2013-05-28,-35000,0
2013-05-29,543828,0
2013-05-30,77000,2000
2013-05-31,429874,0
2013-06-03,448000,0
2013-06-04,-310000,0
2013-06-05,344000,0
2013-06-06,808000,0
2013-06-07,-174000,-2000
2013-06-10,793000,0
2013-06-11,-509000,-142000
2013-06-13,253588,-135000
2013-06-14,167000,0
2013-06-17,335929,0
2013-06-18,-264414,0
2013-06-19,422000,0
2013-06-20,613000,0
2013-06-21,1547000,-3000
2013-06-24,-312084,1000
2013-06-25,227000,0
2013-06-26,622000,0
2013-06-27,792000,3000
2013-06-28,14000,1000
2013-07-01,526000,0
2013-07-02,-606678,0
2013-07-03,531000,0
2013-07-04,80000,-1000
2013-07-05,99000,-63000
2013-07-08,250000,0
2013-07-09,75000,0
2013-07-10,118000,0
2013-07-11,386000,0
2013-07-12,259000,0
2013-07-15,594395,0
2013-07-16,-368000,0
2013-07-17,239000,0
2013-07-18,-24000,2000
2013-07-19,51000,1000
2013-07-22,1368000,0
2013-07-23,435000,2000
2013-07-24,298000,1000
2013-07-25,291000,0
2013-07-26,114000,0
2013-07-29,-694912,0
2013-07-30,333000,9000
2013-07-31,-65000,-3000
2013-08-01,-277000,0
2013-08-02,8000,0
2013-08-05,438000,-1000
2013-08-06,-44961,0
2013-08-07,-231000,0
2013-08-08,-36000,0
2013-08-09,-96000,0
2013-08-12,-114000,0
2013-08-13,-23489,0
2013-08-14,31000,0
2013-08-15,107000,8000
2013-08-16,292765,-20000
2013-08-19,203000,0
2013-08-20,285000,0
2013-08-22,264000,0
2013-08-23,-65000,0
2013-08-26,179000,0
2013-08-27,130000,0
2013-08-28,27000,0
2013-08-29,-259000,0
2013-08-30,110000,0
2013-09-02,-25000,0
2013-09-03,-175964,0
2013-09-04,133000,0
2013-09-05,47000,-1000
2013-09-06,35000,0
2013-09-09,123000,0
2013-09-10,-400000,-5000
2013-09-11,-70000,0
2013-09-12,-157588,-1000
2013-09-13,23000,-1000
2013-09-14,0,0
2013-09-16,55000,0
2013-09-17,-110717,0
2013-09-18,-32000,0
2013-09-23,-113511,0
2013-09-24,141861,0
