date,foreign_net,trust_net
2013-01-02,503822,-800000
2013-01-03,7084398,447000
2013-01-04,-12574735,2654000
2013-01-07,-19742300,-2911000
2013-01-08,-1312000,921000
2013-01-09,3055000,-1598000
2013-01-10,-12574518,1740000
2013-01-11,2437316,-4724000
2013-01-14,10850400,666000
2013-01-15,-3438000,-167000
2013-01-16,-5152952,2206000
2013-01-17,-21004400,-3351833
2013-01-18,-88350775,1480000
2013-01-21,-33951508,4713000
2013-01-22,-31912217,-2472000
2013-01-23,1659349,126000
2013-01-24,7855000,1478000
2013-01-25,14952758,5764000
2013-01-28,21953258,3258000
2013-01-29,40334574,1517000
2013-01-30,-9158328,1706000
2013-01-31,-5938129,398000
2013-02-01,10853860,500000
2013-02-04,2625001,1332000
2013-02-05,-7941950,11167000
2013-02-06,18149394,1030000
2013-02-18,14858369,8729000
2013-02-19,8256181,9238000
2013-02-20,14102072,4890000
2013-02-21,814301,3069000
2013-02-22,-1442000,5921000
2013-02-23,348604,2752000
2013-02-25,4907272,4229000
2013-02-26,-3968505,2344000
2013-02-27,27711408,21412000
2013-03-01,16510141,2092000
2013-03-04,7850000,-607000
2013-03-05,11333561,5564000
2013-03-06,18678000,16881000
2013-03-07,20216000,4114000
2013-03-08,16961321,595000
2013-03-11,15817607,1101000
2013-03-12,13237856,17618000
2013-03-13,12481754,2188000
2013-03-14,13475932,-434000
2013-03-15,7729029,-5803000
2013-03-18,3992334,-1138000
2013-03-19,7436822,-446000
2013-03-20,-1104984,3820000
2013-03-21,12022805,-1999000
2013-03-22,15306467,545000
2013-03-25,8636561,3220000
2013-03-26,1228536,1456000
2013-03-27,8743000,594000
2013-03-28,4408755,0
2013-03-29,2020201,4049000
2013-04-01,5229248,-504000
2013-04-02,3044130,-900000
2013-04-03,-2451178,-200000
2013-04-08,-5055424,-980000
2013-04-09,5486368,-4900000
2013-04-10,2973000,209000
2013-04-11,2201825,1307000
2013-04-12,2054000,-5976000
2013-04-15,4789883,-12957000
2013-04-16,14717145,-861000
2013-04-17,1122822,-7428000
2013-04-18,6775625,-2366000
2013-04-19,3717000,-3670106
2013-04-22,1141822,-3249000
2013-04-23,2508000,-5576000
2013-04-24,3310000,-2547000
2013-04-25,-3428799,-248000
2013-04-26,-146000,-1303000
2013-04-29,6413000,-148000
2013-04-30,16317000,-128000
2013-05-02,16927842,1228000
2013-05-03,-7063000,-581000
2013-05-06,-1028938,-689000
2013-05-07,-2800323,-945000
2013-05-08,5051003,-1889000
2013-05-09,3772545,-1634000
2013-05-10,13641000,6299000
2013-05-13,15226000,-200000
2013-05-14,30502931,-1953000
2013-05-15,24318037,-1228000
2013-05-16,25594000,421000
2013-05-17,8349804,872000
2013-05-20,6771000,-568000
2013-05-21,3436609,1307000
2013-05-22,8985000,-76000
2013-05-23,-3866000,-785000
2013-05-24,7253089,-2853000
2013-05-27,11941735,-892000
2013-05-28,6051000,-778000
2013-05-29,20337000,514000
2013-05-30,-13170662,-3315000
2013-05-31,4058478,-95000
2013-06-03,4019000,215000
2013-06-04,6783000,-1312000
2013-06-05,-8127029,-13476000
2013-06-06,-3124197,-4096000
2013-06-07,8021731,-4671000
2013-06-10,5735300,-520000
2013-06-11,20624436,-737000
2013-06-13,-8497727,4467000
2013-06-14,1856000,-800000
2013-06-17,-4713766,-655000
2013-06-18,8645415,-4226000
2013-06-19,2693663,-2756000
2013-06-20,-3538861,-8657000
2013-06-21,-46488058,-9945000
2013-06-24,-5883972,-7542000
2013-06-25,-85265,-8474633
2013-06-26,-32051562,2611000
2013-06-27,-23640000,875000
2013-06-28,2950789,-1246000
2013-07-01,-8329000,-86000
2013-07-02,-1539838,-454000
2013-07-03,-1711390,-2947000
2013-07-04,2416000,-1553000
2013-07-05,4430445,318000
2013-07-08,-13301835,-456000
2013-07-09,-749490,0
2013-07-10,-22000,0
2013-07-11,2617358,1140995
2013-07-12,-3420000,-1033000
2013-07-15,-7019232,1000000
2013-07-16,-14115000,2589000
2013-07-17,1117000,0
2013-07-18,-11344000,-3228000
2013-07-19,-21421739,-6046000
2013-07-22,17214873,-1619000
2013-07-23,8509000,-1962000
2013-07-24,-892326,-4083000
2013-07-25,-1278000,-6448000
2013-07-26,1701205,0
2013-07-29,1501025,-2303000
2013-07-30,1452000,78000
2013-07-31,1414000,-3512000
2013-08-01,4252000,-797000
2013-08-02,-18602000,-503000
2013-08-05,4230946,-478000
2013-08-06,10825837,0
2013-08-07,-21602343,-845000
2013-08-08,9211770,-1589000
2013-08-09,-6690000,150000
2013-08-12,13945000,-781000
2013-08-13,20375000,-3809000
2013-08-14,-3111057,-883000
2013-08-15,662366,3956000
2013-08-16,12665220,1617000
2013-08-19,753000,2712000
2013-08-20,2721154,1161000
2013-08-22,19211944,684000
2013-08-23,-7398498,1148000
2013-08-26,7151000,2534000
2013-08-27,-3750000,13150000
2013-08-28,4673000,5644000
2013-08-29,6869659,520000
2013-08-30,109274,203000
2013-09-02,2037000,2000000
2013-09-03,5793000,13711
