date,foreign_net,trust_net
2025-11-21,-1776023,0
2025-11-24,-214689,-280000
2025-11-25,-1775325,300000
2025-11-26,-558690,0
2025-11-27,-244765,0
2025-11-28,-709528,0
2025-12-01,-2227841,0
2025-12-02,54145,0
2025-12-03,13900,0
2025-12-04,306350,0
2025-12-05,998606,0
2025-12-08,-626865,0
2025-12-09,437176,-330000
2025-12-10,-33887,0
2025-12-11,-458290,-120000
2025-12-12,2172008,0
2025-12-15,1753947,-220000
2025-12-16,-146000,-150000
2025-12-17,-217000,0
2025-12-18,-3067757,-300000
2025-12-19,2074200,0
2025-12-22,2086210,0
2025-12-23,941090,0
2025-12-24,160000,0
2025-12-26,1882504,-300000
2025-12-29,2212689,-100000
2025-12-30,268824,0
2025-12-31,653088,0
2026-01-02,2162080,-450000
2026-01-05,3465900,-550000
2026-01-06,939000,0
2026-01-07,293083,-800000
2026-01-08,4140615,-2700000
2026-01-09,-3193975,-2500000
2026-01-12,-803208,-650000
2026-01-13,-113600,-500000
2026-01-14,-2807772,-650000
2026-01-15,78448,-650000
2026-01-16,-1494837,0
2026-01-19,972283,-750000
2026-01-20,560621,0
2026-01-21,-215572,-860000
2026-01-22,-727692,60000
2026-01-23,97604,50000
2026-01-26,495650,50000
2026-01-27,3054050,200000
2026-01-28,1658118,375000
2026-01-29,739900,0
2026-01-30,-1788920,50000
2026-02-02,1385330,50000
2026-02-03,4021500,0
2026-02-04,131160,50000
2026-02-05,-2290918,0
2026-02-06,4395217,0
2026-02-09,2757250,-400000
2026-02-10,1024055,0
2026-02-11,9000,0
2026-02-23,-1212463,0
2026-02-24,-999665,0
2026-02-25,2877037,-395000
2026-02-26,2423192,-425000
2026-03-02,-349800,0
2026-03-03,-2249000,0
2026-03-04,-1682305,0
2026-03-05,235040,-380000
2026-03-06,221015,0
2026-03-09,-308590,0
2026-03-10,228888,250000
2026-03-11,369000,0
2026-03-12,-347000,0
2026-03-13,2684000,0
2026-03-16,-116800,0
2026-03-17,184010,-100000
2026-03-18,1198838,0
2026-03-19,-115698,-250000
2026-03-20,1335920,-250000
2026-03-23,-2381405,400000
2026-03-24,184020,0
2026-03-25,-243800,0
2026-03-26,-551000,-400000
2026-03-27,5161255,-1000000
2026-03-30,-2354793,0
2026-03-31,122000,0
2026-04-01,126311,-850000
2026-04-02,-15000,0
2026-04-07,199000,0
2026-04-08,2530000,-380000
2026-04-09,470679,0
2026-04-10,27800,0
2026-04-13,50987,-200000
2026-04-14,1209138,0
2026-04-15,288110,-300000
2026-04-16,797003,-100000
2026-04-17,1144000,-1400000
2026-04-20,367500,-400000
2026-04-21,991150,-230000
2026-04-22,4921915,-470000
2026-04-23,445000,-700000
2026-04-24,5633000,-250000
2026-04-27,-283000,-300000
2026-04-28,-986486,0
2026-04-29,7948270,0
2026-04-30,-5646880,-149000
2026-05-04,304670,-200000
2026-05-05,-12000,-400000
2026-05-06,-4723900,-400000
2026-05-07,-2269900,-500000
2026-05-08,334000,-600000
2026-05-11,195001,-600000
2026-05-12,-356516,-800000
2026-05-13,1862007,-850000
2026-05-14,-1788990,0
2026-05-15,-13900,-149000
2026-05-18,-265883,-250000
2026-05-19,572000,0
