date,foreign_net,trust_net
2013-01-02,-4760000,756000
2013-01-03,-2708999,1550000
2013-01-04,2587700,-12000
2013-01-07,-105145,-70000
2013-01-08,-2714000,-2000
2013-01-09,-1268000,-4000
2013-01-10,-5773000,0
2013-01-11,-7687000,-13000
2013-01-14,-285000,0
2013-01-15,-3492000,-6000
2013-01-16,-4550304,228000
2013-01-17,-1469400,-56870
2013-01-18,390254,2041000
2013-01-21,-265000,1324000
2013-01-22,626561,-8000
2013-01-23,7195170,-2000
2013-01-24,854000,404000
2013-01-25,-5919046,-5000
2013-01-28,-67025,0
2013-01-29,6729000,0
2013-01-30,2996654,0
2013-01-31,4844208,-294000
2013-02-01,-1063000,0
2013-02-04,849000,-105000
2013-02-05,512000,-292000
2013-02-06,-539000,9000
2013-02-18,-406781,-32000
2013-02-19,1873334,-696000
2013-02-20,3955727,0
2013-02-21,6539315,-2000
2013-02-22,2188139,-2058000
2013-02-23,57000,-1000
2013-02-25,5173003,499000
2013-02-26,2819052,-2000
2013-02-27,6116529,6000
2013-03-01,-1379000,-126000
2013-03-04,1136000,0
2013-03-05,7124998,134000
2013-03-06,4445000,7000
2013-03-07,3600067,0
2013-03-08,3858800,-16000
2013-03-11,2409000,-67000
2013-03-12,4148335,0
2013-03-13,1939031,-1000
2013-03-14,-2947284,-9000
2013-03-15,444000,752000
2013-03-18,2104000,20000
2013-03-19,-435000,0
2013-03-20,930732,71000
2013-03-21,1849000,0
2013-03-22,-284459,-4000
2013-03-25,630078,0
2013-03-26,2937747,50000
2013-03-27,-1563000,-23000
2013-03-28,-2956343,0
2013-03-29,969000,12000
2013-04-01,471975,76000
2013-04-02,-390000,-3000
2013-04-03,1104000,0
2013-04-08,-298645,-6000
2013-04-09,-86780,-3000
2013-04-10,2666000,0
2013-04-11,-1166185,0
2013-04-12,36000,-4000
2013-04-15,-1919445,-1000
2013-04-16,-4605676,-522000
2013-04-17,-4801000,-60000
2013-04-18,-777000,-7000
2013-04-19,-212000,10245
2013-04-22,-194000,-110000
2013-04-23,671000,-3000
2013-04-24,1083000,0
2013-04-25,3322161,-3000
2013-04-26,1045000,0
2013-04-29,463863,-3000
2013-04-30,1952873,-84000
2013-05-02,-507283,0
2013-05-03,-4915000,-1000
2013-05-06,-4805500,0
2013-05-07,-1615290,-39000
2013-05-08,2136917,0
2013-05-09,-2742909,-2000
2013-05-10,-5492000,-43000
2013-05-13,-2425000,-3000
2013-05-14,-6080851,7000
2013-05-15,1433525,0
2013-05-16,-771000,54000
2013-05-17,-1636000,278000
2013-05-20,-1822000,85000
2013-05-21,351547,-3000
2013-05-22,1515000,-2000
2013-05-23,-2176974,-902000
2013-05-24,-1353838,-9000
2013-05-27,918906,-78000
2013-05-28,-929000,0
2013-05-29,-1745000,0
2013-05-30,-2383000,0
2013-05-31,-2727762,1000
2013-06-03,-1874000,0
2013-06-04,-103000,0
2013-06-05,-230256,0
2013-06-06,-598307,-331000
2013-06-07,-2586660,-1173000
2013-06-10,-1200,0
2013-06-11,-783932,-2085000
2013-06-13,-2684500,-1608000
2013-06-14,-1272000,0
2013-06-17,98942,0
2013-06-18,-255314,-2000
2013-06-19,-1912698,-2000
2013-06-20,-244373,0
2013-06-21,-860872,-638000
2013-06-24,-1925888,-18000
2013-06-25,-1094870,-52000
2013-06-26,-51989,-7000
2013-06-27,853200,-1000
2013-06-28,2057620,1000
2013-07-01,-1253000,-4000
2013-07-02,3371013,200000
2013-07-03,-462700,235000
2013-07-04,-2593000,-6000
2013-07-05,1566992,18000
2013-07-08,381000,-540000
2013-07-09,874382,0
2013-07-10,1315000,0
2013-07-11,3103916,-6084
2013-07-12,1185000,-7000
2013-07-15,-407200,0
2013-07-16,-3093000,0
2013-07-17,-1431723,0
2013-07-18,-3203000,0
2013-07-19,1509235,1000
2013-07-22,-320916,0
2013-07-23,1490919,0
2013-07-24,-926940,2000
2013-07-25,713250,1000
2013-07-26,-1869000,0
2013-07-29,-940165,0
2013-07-30,735000,68000
2013-07-31,-4077000,-1000
2013-08-01,-3307000,-1339000
2013-08-02,-761000,0
2013-08-05,-4535943,-580000
2013-08-06,-7711655,0
2013-08-07,-1950139,0
2013-08-08,-2855000,0
2013-08-09,-3661000,0
2013-08-12,450879,0
2013-08-13,1301890,0
2013-08-14,-1982082,2000
2013-08-15,-1741624,7000
2013-08-16,-1153120,19000
2013-08-19,-2262001,4000
2013-08-20,-35000,1000
2013-08-22,-5212890,4000
2013-08-23,-2445036,9000
