date,foreign_net,trust_net
2013-01-02,4000,0
2013-01-03,3000,0
2013-01-04,-5000,-1000
2013-01-07,-9000,2000
2013-01-08,-10000,0
2013-01-09,0,0
2013-01-10,31000,0
2013-01-11,8000,1000
2013-01-14,-6000,0
2013-01-15,-1000,1000
2013-01-16,-25000,3000
2013-01-17,-16000,0
2013-01-18,7000,0
2013-01-21,5000,1000
2013-01-22,18000,0
2013-01-23,1000,-1000
2013-01-24,-4000,0
2013-01-25,-3000,0
2013-01-28,2000,0
2013-01-29,9000,0
2013-01-30,11000,0
2013-01-31,-19000,0
2013-02-01,16000,0
2013-02-04,8000,5000
2013-02-05,1000,4000
2013-02-06,6000,-1000
2013-02-18,-5000,0
2013-02-19,-63000,-1000
2013-02-20,-2000,49000
2013-02-21,9000,0
2013-02-22,-4000,-1000
2013-02-23,0,-1000
2013-02-25,-12000,0
2013-02-26,-3000,0
2013-02-27,4000,0
2013-03-01,-8000,355000
2013-03-04,-52000,402000
2013-03-05,-27000,551000
2013-03-06,-15000,511000
2013-03-07,29000,666000
2013-03-08,115000,134000
2013-03-11,-22000,0
2013-03-12,-11000,0
2013-03-13,-45000,141000
2013-03-14,-13000,182000
2013-03-15,2000,0
2013-03-18,-66000,-7000
2013-03-19,-53000,0
2013-03-20,-45000,-13000
2013-03-21,-2000,-189000
2013-03-22,13000,318000
2013-03-25,8000,0
2013-03-26,46000,0
2013-03-27,15000,-1000
2013-03-28,39000,0
2013-03-29,90000,0
2013-04-01,16000,0
2013-04-02,19000,0
2013-04-03,6000,22000
2013-04-08,-7000,0
2013-04-09,-3000,181000
2013-04-10,-42000,120000
2013-04-11,-3000,0
2013-04-12,2000,0
2013-04-15,17000,0
2013-04-16,3000,59000
2013-04-17,-18000,-21000
2013-04-18,7000,-186760
2013-04-19,13000,-29000
2013-04-22,172000,0
2013-04-23,17000,-1000
2013-04-24,-11000,0
2013-04-25,-5000,0
2013-04-26,25000,-1000
2013-04-29,-3000,0
2013-04-30,1000,0
2013-05-02,-4000,10000
2013-05-03,0,8000
2013-05-06,7000,10000
2013-05-07,16000,5000
2013-05-08,19000,-35000
2013-05-09,38000,-85000
