date,foreign_net,trust_net
2013-01-02,-2168452,-1668000
2013-01-03,2319968,-4709400
2013-01-04,-7809965,-1958800
2013-01-07,-17602657,-4446500
2013-01-08,-12067021,-6228400
2013-01-09,5308200,-1732200
2013-01-10,4264070,-1238000
2013-01-11,3679900,-1459700
2013-01-14,-10373456,-1578000
2013-01-15,-51537389,-3519522
2013-01-16,-28293186,-277000
2013-01-17,2079423,-562434
2013-01-18,10557053,-2082000
2013-01-21,-5172047,57000
2013-01-22,2166523,114000
2013-01-23,4122429,-752000
2013-01-24,-54250200,-2200500
2013-01-25,-12063929,226000
2013-01-28,1959210,-510000
2013-01-29,9081974,362000
2013-01-30,6346419,-17000
2013-01-31,885827,-140600
2013-02-01,3849615,-1433000
2013-02-04,-5783722,-1607800
2013-02-05,-1914386,-2113000
2013-02-06,862749,-332000
2013-02-18,-10634586,-2261200
2013-02-19,4458687,-904400
2013-02-20,4937541,-221500
2013-02-21,-3381786,-1651000
2013-02-22,-4188063,-4484000
2013-02-23,-83000,-1176000
2013-02-25,-4295550,-281000
2013-02-26,-14489259,-348000
2013-02-27,-1976474,-857300
2013-03-01,-7323625,-2200100
2013-03-04,-2359379,-3024900
2013-03-05,-13446336,-3319900
2013-03-06,-8228208,-10412000
2013-03-07,-3827417,-3710000
2013-03-08,-4310551,-699100
2013-03-11,-38900,-1591500
2013-03-12,-4366696,-3000200
2013-03-13,-11834634,-468000
2013-03-14,-3373839,-463500
2013-03-15,8011437,-2932000
2013-03-18,-642664,562700
2013-03-19,4348149,656000
2013-03-20,-2662361,795000
2013-03-21,3843289,270000
2013-03-22,4662123,1321300
2013-03-25,-1350776,667000
2013-03-26,4875812,-975000
2013-03-27,836460,-1346000
2013-03-28,-3608158,-1740000
2013-03-29,-25359,142000
2013-04-01,557246,-275000
2013-04-02,4536356,-211000
2013-04-03,-3164229,494000
2013-04-08,-13026144,-119000
2013-04-09,-9275521,-103000
2013-04-10,-7929680,-1500000
2013-04-11,-16325634,-628488
2013-04-12,-41173298,-2877000
2013-04-15,-29140475,-3612000
2013-04-16,-32598342,-1237800
2013-04-17,-4596438,-210000
2013-04-18,-29333212,-591000
2013-04-19,-12603314,-1382578
2013-04-22,-6275117,-422000
2013-04-23,-19596571,-1708694
2013-04-24,-3989520,237000
2013-04-25,3586538,-330000
2013-04-26,-40554069,-850400
2013-04-29,-26745205,286000
2013-04-30,-19999098,-3775000
2013-05-02,-11285177,-112000
2013-05-03,-4736558,61800
2013-05-06,-2893336,-98000
2013-05-07,-6537399,-102000
2013-05-08,18973193,300000
2013-05-09,20517319,2873000
2013-05-10,-6730050,1325000
2013-05-13,-17791239,499000
2013-05-14,776953,-87000
2013-05-15,-33877147,-382500
2013-05-16,-27105015,-202000
2013-05-17,-47170585,-107000
2013-05-20,-21819298,-916000
2013-05-21,-15945681,-124000
2013-05-22,2773612,-355000
2013-05-23,-28335200,-259000
2013-05-24,-16823589,-246000
2013-05-27,-4838985,-6000
2013-05-28,-6907677,-42600
2013-05-29,-6698125,25000
2013-05-30,-18642851,-62000
2013-05-31,-27617916,-147000
2013-06-03,-10797560,-52000
2013-06-04,-6386000,-240000
2013-06-05,-14293151,-263000
2013-06-06,-22700926,-581000
2013-06-07,-12766210,-1252000
2013-06-10,-5112107,-888000
2013-06-11,-17142005,-2063000
2013-06-13,-22168764,-1434000
2013-06-14,-9721293,-357000
2013-06-17,-30294950,-590000
2013-06-18,-10011640,-354000
2013-06-19,-8861950,-784000
2013-06-20,-14717800,-750000
2013-06-21,-20803348,-1756800
2013-06-24,-12448170,83238
2013-06-25,-562171,130000
2013-06-26,-1163860,-214900
2013-06-27,-3689992,915000
2013-06-28,9366699,-520000
2013-07-01,5926421,-424000
2013-07-02,6522198,-462000
2013-07-03,-2758628,-179000
2013-07-04,789035,547900
2013-07-05,10317512,-201000
2013-07-08,-287000,0
2013-07-09,13600031,20000
2013-07-10,11162200,150000
2013-07-11,43610992,1498238
2013-07-12,12966000,1420000
2013-07-15,12886898,-62000
2013-07-16,13001500,258000
2013-07-17,10606874,20000
2013-07-18,14852303,90000
2013-07-19,11412460,1048000
2013-07-22,4704992,100000
2013-07-23,7038507,1004500
2013-07-24,14685900,335000
2013-07-25,10550046,184000
2013-07-26,4829334,300000
2013-07-29,2566917,244200
2013-07-30,8274500,-20000
2013-07-31,1525901,514000
2013-08-01,262200,495000
2013-08-02,452943,29000
2013-08-05,5581777,-205000
2013-08-06,-1784000,-18000
2013-08-07,968331,0
2013-08-08,-7722366,300000
2013-08-09,-9249161,-222000
2013-08-12,4672870,150000
2013-08-13,18209629,2195000
2013-08-14,2690381,673000
2013-08-15,1492276,387000
2013-08-16,5327563,168000
2013-08-19,5534748,125000
2013-08-20,11378653,577000
2013-08-22,2129759,886000
2013-08-23,11718822,1009000
2013-08-26,9785012,201000
2013-08-27,10554249,436000
2013-08-28,-4513693,-401000
2013-08-29,1778311,-48000
2013-08-30,10309660,100000
2013-09-02,9824686,14000
2013-09-03,7598613,68893
2013-09-04,7300280,-40000
2013-09-05,7692317,-148000
2013-09-06,5145190,-243000
2013-09-09,4969675,341000
2013-09-10,6968614,-97000
2013-09-11,-7836638,-937000
2013-09-12,-17534957,-237000
2013-09-13,650837,-1315000
2013-09-14,1584000,-20000
2013-09-16,5625282,184000
2013-09-17,4025362,-885000
2013-09-18,-3682242,-1076000
2013-09-23,2708106,15000
2013-09-24,4260672,-112500
2013-09-25,4341700,-3000
2013-09-26,-1008526,-4000
2013-09-27,5839453,-38000
2013-09-30,-5722526,4000
2013-10-01,-1769193,-1755000
2013-10-02,-8908735,-313000
2013-10-03,8339163,-667000
2013-10-04,-413566,-187000
2013-10-07,-4400000,-85000
2013-10-08,-2937933,-22000
2013-10-09,2432285,9000
2013-10-11,-6211137,418000
2013-10-14,-12078294,-3109000
2013-10-15,-15828929,-1061533
2013-10-16,-7594300,-2322000
2013-10-17,-14866749,-800529
2013-10-18,3823557,-177000
2013-10-21,-1186000,-177000
2013-10-22,5694413,-160000
2013-10-23,4815828,-121000
2013-10-24,-105267,100000
2013-10-25,-3444334,119000
2013-10-28,4802716,-327000
2013-10-29,-22918953,-592500
2013-10-30,7800244,-199600
2013-10-31,-4904259,-469533
2013-11-01,-2424332,-119600
2013-11-04,-10978834,-111000
2013-11-05,509161,-202600
2013-11-06,6599066,1712000
2013-11-07,-570224,-74708
2013-11-08,-2566813,0
2013-11-11,-5410171,352000
2013-11-12,2301413,419000
2013-11-13,965296,102000
2013-11-14,7606366,840000
2013-11-15,5335751,38000
2013-11-18,7781588,94280
2013-11-19,3459356,100000
2013-11-20,4943058,32000
2013-11-21,7351359,-463400
2013-11-22,-10186700,-138200
2013-11-25,6579881,794156
2013-11-26,5357675,-76000
2013-11-27,133996,150000
2013-11-28,9368385,-143700
2013-11-29,16410134,1359000
2013-12-02,7371234,1021000
2013-12-03,5086197,161000
2013-12-04,13134538,92000
2013-12-05,3990149,3208000
2013-12-06,-8695068,648000
2013-12-09,23358498,620000
2013-12-10,9137872,-11000
2013-12-11,-9547541,637000
2013-12-12,7612437,-16000
2013-12-13,644109,23000
2013-12-16,-908695,727000
2013-12-17,10176013,-1002600
2013-12-18,10553596,27000
2013-12-19,7954100,1233000
2013-12-20,3664592,481000
2013-12-23,818102,-28000
2013-12-24,1007100,414000
2013-12-25,-94000,-39000
2013-12-26,3276000,-598000
2013-12-27,9995564,385000
2013-12-30,8750118,72000
2013-12-31,9994333,44000
2014-01-02,8709091,-500000
2014-01-03,14396662,-97370
2014-01-06,-158427,313000
2014-01-07,-1695950,-27000
2014-01-08,9658105,97000
2014-01-09,28304735,-93000
2014-01-10,16648079,2488000
2014-01-13,23555916,1995000
2014-01-14,29377614,1034000
2014-01-15,45854137,888000
2014-01-16,39943003,730000
2014-01-17,28045878,385000
2014-01-20,34821757,65000
2014-01-21,16790096,1604000
2014-01-22,12701182,363000
2014-01-23,9433327,220000
2014-01-24,28550556,584000
2014-01-27,11628225,709000
2014-02-05,-35775804,-93000
2014-02-06,-331078,-391000
2014-02-07,-7495120,-183000
2014-02-10,1062221,-499000
2014-02-11,-2511,-986000
2014-02-12,8221784,-438000
2014-02-13,16234088,-262704
2014-02-14,27257219,-70400
2014-02-17,3550990,-180000
2014-02-18,4472356,-96000
2014-02-19,18242908,-58000
2014-02-20,348452,-61000
2014-02-21,11145054,-244000
2014-02-24,-5953283,238000
2014-02-25,37029,-2681000
2014-02-26,10790984,-959000
2014-02-27,8542344,-562300
2014-03-03,-7888990,17000
2014-03-04,245728,55000
2014-03-05,-2207261,-61000
2014-03-06,20485032,777000
2014-03-07,17443722,167000
2014-03-10,7986802,3000
2014-03-11,-64048,-248000
2014-03-12,7866171,-83000
2014-03-13,27212389,69000
2014-03-14,3994440,-253000
2014-03-17,16413535,356000
2014-03-18,-6079924,-76000
2014-03-19,-396619,0
2014-03-20,-1731400,460000
2014-03-21,6238032,-2000
2014-03-24,20663415,234000
2014-03-25,1031420,1085000
2014-03-26,2755809,317000
2014-03-27,4818548,509000
2014-03-28,6947512,385000
2014-03-31,2561067,-1112000
2014-04-01,7949871,-66000
2014-04-02,3468198,-2433000
2014-04-03,8836701,-231000
2014-04-07,1751925,-108000
2014-04-08,1835332,-24000
2014-04-09,5467000,172000
2014-04-10,7530018,-158196
2014-04-11,-3839864,0
2014-04-14,22590000,0
2014-04-15,16581627,412000
2014-04-16,17549000,537000
2014-04-17,11979577,1139000
2014-04-18,3751192,862000
2014-04-21,492000,563000
2014-04-22,239764,1157000
2014-04-23,12902709,115000
2014-04-24,3948226,-552000
2014-04-25,13402667,-208000
2014-04-28,2520422,200000
2014-04-29,6617660,600000
2014-04-30,-4780897,-33000
2014-05-02,24121091,-310000
2014-05-05,6625926,220000
2014-05-06,5072100,375000
2014-05-07,3434100,-241000
2014-05-08,8167763,140000
2014-05-09,9118038,-117000
2014-05-12,-6635450,-433000
2014-05-13,5614178,-786000
2014-05-14,8321111,-1218000
2014-05-15,-105000,270000
2014-05-16,2021309,-254000
2014-05-19,12870262,202000
2014-05-20,19692786,213000
2014-05-21,4184579,136000
2014-05-22,3678405,2406000
2014-05-23,16111689,1158000
2014-05-26,-943750,368000
2014-05-27,4224690,63000
2014-05-28,9262510,399000
2014-05-29,10575007,-204000
2014-05-30,-1400878,721000
2014-06-03,1440537,-4000
2014-06-04,1147341,271000
2014-06-05,1858799,78000
2014-06-06,2545136,493000
2014-06-09,4282190,-9000
2014-06-10,7956970,730000
2014-06-11,4151043,920000
2014-06-12,248349,446000
2014-06-13,737919,-462000
2014-06-16,149278,133000
2014-06-17,4440197,-12000
2014-06-18,11734000,100000
2014-06-19,3022561,61000
