date,foreign_net,trust_net
2013-01-02,1836000,0
2013-01-03,2126000,-5000
2013-01-04,840000,-4000
2013-01-07,-1663500,26000
2013-01-08,-734000,-4000
2013-01-09,113000,0
2013-01-10,1703450,0
2013-01-11,787000,10000
2013-01-14,787000,0
2013-01-15,567000,4000
2013-01-16,190320,5000
2013-01-17,1180600,3718
2013-01-18,933000,0
2013-01-21,-335000,-4000
2013-01-22,1239000,-1000
2013-01-23,1521246,-1000
2013-01-24,-899815,-9000
2013-01-25,-105000,-1000
2013-01-28,415000,0
2013-01-29,1597700,0
2013-01-30,1841000,0
2013-01-31,841190,-2000
2013-02-01,1939000,0
2013-02-04,1752000,21000
2013-02-05,1476000,20000
2013-02-06,1130160,-17000
2013-02-18,1825884,0
2013-02-19,487274,-6000
2013-02-20,458953,0
2013-02-21,1025000,-9000
2013-02-22,-388998,-13000
2013-02-23,0,-7000
2013-02-25,-479730,0
2013-02-26,395599,0
2013-02-27,998758,0
2013-03-01,-740000,0
2013-03-04,1027000,-1200000
2013-03-05,-669000,0
2013-03-06,-512000,0
2013-03-07,-1395369,0
2013-03-08,-9900,-3000
2013-03-11,144000,-4000
2013-03-12,-2128067,0
2013-03-13,-138000,-6000
2013-03-14,-1349596,-5000
2013-03-15,-4583626,-84000
2013-03-18,-692520,-10000
2013-03-19,-1142264,0
2013-03-20,-1099507,-1000
2013-03-21,-1155375,1000
2013-03-22,424850,0
2013-03-25,-366655,0
2013-03-26,-883000,-202135
2013-03-27,973000,-40000
2013-03-28,530000,0
2013-03-29,1071000,0
2013-04-01,190805,-4000
2013-04-02,810000,0
2013-04-03,585000,0
2013-04-08,-2010290,0
2013-04-09,-670519,0
2013-04-10,713838,0
2013-04-11,1015951,0
2013-04-12,614245,-2000
2013-04-15,345028,-4000
2013-04-16,1042866,0
2013-04-17,-71300,-30000
2013-04-18,-720094,-2000
2013-04-19,1144800,14315
2013-04-22,1353200,-702000
2013-04-23,374942,-732500
2013-04-24,1481000,-3000
2013-04-25,2022272,-10000
2013-04-26,1862300,-9000
2013-04-29,1526000,-5000
2013-04-30,2418900,0
2013-05-02,1706428,0
2013-05-03,1102000,-112000
2013-05-06,1454937,-9000
2013-05-07,1782976,0
2013-05-08,4271265,0
2013-05-09,2424596,-2000
2013-05-10,1926000,0
2013-05-13,1534100,991000
2013-05-14,2803825,679000
2013-05-15,4360293,0
2013-05-16,2450000,0
2013-05-17,1428960,-67000
2013-05-20,-2320306,-5000
2013-05-21,2187467,0
2013-05-22,327047,1216000
2013-05-23,1635000,811000
2013-05-24,2799000,1797000
2013-05-27,-683105,1140000
2013-05-28,-976000,2012000
2013-05-29,5460000,900000
2013-05-30,-1263000,97000
2013-05-31,3093397,684000
2013-06-03,-1589000,0
2013-06-04,555925,0
2013-06-05,1220365,693000
2013-06-06,-1488764,1300000
2013-06-07,-147261,40000
2013-06-10,-366000,0
2013-06-11,1659285,965000
2013-06-13,401666,-43000
2013-06-14,2063682,1159000
2013-06-17,-3760581,1490000
2013-06-18,-3119000,1139000
2013-06-19,-3039442,1104000
2013-06-20,-1475410,0
2013-06-21,-2443852,3000
2013-06-24,6158579,1011000
2013-06-25,9956033,280000
2013-06-26,17624033,1558000
2013-06-27,11089579,-421000
2013-06-28,7156331,-4784000
2013-07-01,6032795,-929000
2013-07-02,8092651,581000
2013-07-03,7980343,-150000
2013-07-04,11878000,-106000
2013-07-05,4110000,88000
2013-07-08,10287000,-133000
2013-07-09,3723072,150000
2013-07-10,15792000,-240000
2013-07-11,10864865,-123305
2013-07-12,12152000,-8000
2013-07-15,9976288,-14000
2013-07-16,14751000,0
2013-07-17,8777644,211000
2013-07-18,4691410,3501000
2013-07-19,-619086,602000
2013-07-22,8573561,-500000
2013-07-23,10286600,1226000
2013-07-24,8383000,2445000
2013-07-25,6243530,302000
2013-07-26,4583000,0
2013-07-29,1164000,1360000
2013-07-30,7824000,-10000
2013-07-31,8400000,-104000
2013-08-01,1232445,674000
2013-08-02,5160695,-2131000
2013-08-05,7188975,173000
