date,foreign_net,trust_net
2013-01-02,-175000,0
2013-01-03,-411000,-1000
2013-01-04,-120000,-2000
2013-01-07,-69000,7000
2013-01-08,34000,0
2013-01-09,-65000,0
2013-01-10,-310000,0
2013-01-11,-164000,2000
2013-01-14,-234000,0
2013-01-15,-51000,1000
2013-01-16,-223454,0
2013-01-17,160000,-16758
2013-01-18,256000,0
2013-01-21,14000,1000
2013-01-22,880000,0
2013-01-23,163000,0
2013-01-24,30000,-3000
2013-01-25,54000,-1000
2013-01-28,73000,0
2013-01-29,622000,0
2013-01-30,390000,0
2013-01-31,852000,1000
2013-02-01,3502000,0
2013-02-04,4951000,724000
2013-02-05,-701000,15000
2013-02-06,18000,-5000
2013-02-18,-65000,0
2013-02-19,131000,-1000
2013-02-20,-176000,0
2013-02-21,-116000,-10000
2013-02-22,-432000,-2000
2013-02-23,-57000,-1000
2013-02-25,-331000,0
2013-02-26,-511000,0
2013-02-27,-434000,0
2013-03-01,79000,0
2013-03-04,19716,0
2013-03-05,-416000,0
2013-03-06,105000,0
2013-03-07,-26450,-1000
2013-03-08,108000,-5000
2013-03-11,71000,0
2013-03-12,96550,0
2013-03-13,90000,-2000
2013-03-14,17000,-1000
2013-03-15,283550,-2000
2013-03-18,-1000,-2000
2013-03-19,-30450,0
2013-03-20,73000,0
2013-03-21,34000,0
2013-03-22,123000,0
2013-03-25,121000,0
2013-03-26,-7296,0
2013-03-27,120000,-7000
2013-03-28,154000,0
2013-03-29,51000,0
2013-04-01,69000,-1000
2013-04-02,-259000,0
2013-04-03,-56454,0
2013-04-08,100000,0
2013-04-09,139834,0
2013-04-10,59000,0
2013-04-11,127800,0
2013-04-12,70000,0
2013-04-15,24000,6000
2013-04-16,84000,0
2013-04-17,294000,-5000
2013-04-18,283000,0
2013-04-19,-18000,14356
2013-04-22,-6000,-1000
2013-04-23,23000,-4000
2013-04-24,15000,-1000
2013-04-25,192000,-3000
2013-04-26,-28000,-2000
2013-04-29,-60000,-1000
2013-04-30,123000,0
2013-05-02,260000,0
2013-05-03,191000,-3000
2013-05-06,154000,-2000
2013-05-07,89000,0
2013-05-08,338954,0
2013-05-09,156092,-2000
2013-05-10,132000,0
2013-05-13,55000,-2000
2013-05-14,211000,-17200
2013-05-15,21000,0
2013-05-16,-61000,0
2013-05-17,39000,0
2013-05-20,3000,-2000
