date,foreign_net,trust_net
2013-01-02,208000,0
2013-01-03,409400,-1000
2013-01-04,16000,158000
2013-01-07,114600,319000
2013-01-08,224000,335000
2013-01-09,-149600,-200000
2013-01-10,374200,269000
2013-01-11,82000,228000
2013-01-14,94300,-55000
2013-01-15,-62000,-26000
2013-01-16,-292000,-105000
2013-01-17,-117100,28384
2013-01-18,136000,201000
2013-01-21,-22200,-6000
2013-01-22,-142300,-1000
2013-01-23,-70016,241000
2013-01-24,-514000,99000
2013-01-25,-298000,-2000
2013-01-28,-226200,0
2013-01-29,-60500,0
2013-01-30,-35000,0
2013-01-31,172500,1000
2013-02-01,108196,-122000
2013-02-04,214764,-52000
2013-02-05,193000,52000
2013-02-06,-296967,-223000
2013-02-18,603947,0
2013-02-19,49655,-2000
2013-02-20,648638,-200000
2013-02-21,155300,-291000
2013-02-22,-106000,-4000
2013-02-23,0,-173000
2013-02-25,-331936,-408000
2013-02-26,188851,-1000
2013-02-27,179052,0
2013-03-01,146853,0
2013-03-04,-139000,-206000
2013-03-05,-484000,-397000
2013-03-06,-248000,-816000
2013-03-07,157320,-24000
2013-03-08,-67200,-203000
2013-03-11,43000,-2000
2013-03-12,-3521,0
2013-03-13,-236000,-2000
2013-03-14,-18854,-2000
2013-03-15,35000,9000
2013-03-18,-306000,-4000
2013-03-19,-309500,0
2013-03-20,-383980,500
2013-03-21,-223000,0
2013-03-22,200946,-1000
2013-03-25,-234000,-277000
2013-03-26,-60000,0
2013-03-27,-132000,-13000
2013-03-28,-196000,0
2013-03-29,256000,0
2013-04-01,94332,-1000
2013-04-02,226000,0
2013-04-03,311000,0
2013-04-08,-521000,0
2013-04-09,-423009,-183000
2013-04-10,1000,-212000
2013-04-11,-1338,0
2013-04-12,120000,-240000
2013-04-15,-222862,-1000
2013-04-16,96095,-85000
2013-04-17,-72000,-133000
2013-04-18,-202000,0
2013-04-19,121000,986
2013-04-22,37000,0
2013-04-23,89000,-5000
2013-04-24,138000,0
2013-04-25,226071,-101000
2013-04-26,273000,-2000
2013-04-29,89000,0
2013-04-30,-480000,0
2013-05-02,-128292,0
2013-05-03,-103000,-3000
2013-05-06,-89875,-1000
2013-05-07,142090,0
2013-05-08,283822,0
2013-05-09,108318,-2000
2013-05-10,16000,0
2013-05-13,46000,-3000
2013-05-14,-7000,-2000
2013-05-15,28286,0
2013-05-16,347000,0
2013-05-17,118900,-19000
2013-05-20,-148000,-1000
2013-05-21,67000,0
2013-05-22,97000,-4000
2013-05-23,-376000,-1000
2013-05-24,-322007,-1000
2013-05-27,-321245,-1000
2013-05-28,-148000,0
2013-05-29,-42000,0
2013-05-30,-314000,1000
2013-05-31,-445044,1000
