date,foreign_net,trust_net
2013-01-02,295300,0
2013-01-03,-139000,381000
2013-01-04,-347000,562000
2013-01-07,-818580,141000
2013-01-08,2000,-207600
2013-01-09,199400,-745000
2013-01-10,-915000,-611000
2013-01-11,146000,-171250
2013-01-14,-13000,40000
2013-01-15,718000,0
2013-01-16,167620,-123000
2013-01-17,-91930,-6537
2013-01-18,688000,0
2013-01-21,-163000,-2000
2013-01-22,71733,23000
2013-01-23,-12136,39000
2013-01-24,9000,0
2013-01-25,20000,-1000
2013-01-28,3682,381000
2013-01-29,167150,1137000
2013-01-30,-188934,1651000
2013-01-31,1760,1851000
2013-02-01,523050,2033000
2013-02-04,314970,2135045
2013-02-05,2583999,809000
2013-02-06,1134956,1191000
2013-02-18,2844386,1009000
2013-02-19,2068798,815000
2013-02-20,589008,464000
2013-02-21,835819,-366000
2013-02-22,876000,-259000
2013-02-23,0,312000
2013-02-25,12989,-14000
2013-02-26,-81415,-19000
2013-02-27,1178700,180000
2013-03-01,3017000,689000
2013-03-04,595334,128000
2013-03-05,-465780,-150000
2013-03-06,552000,-148000
2013-03-07,1436800,-108000
2013-03-08,8800,493000
2013-03-11,365000,277000
2013-03-12,-508404,700000
2013-03-13,-790450,-1417000
2013-03-14,-1497612,-1602000
2013-03-15,652076,-2017000
2013-03-18,-94000,-286000
2013-03-19,617000,-737000
2013-03-20,-231343,138000
2013-03-21,-191000,105000
2013-03-22,-43074,-1000
2013-03-25,-285000,0
2013-03-26,441769,-812000
2013-03-27,156000,3000
2013-03-28,-157000,0
2013-03-29,467000,-1000
2013-04-01,-117654,-1000
2013-04-02,264000,0
2013-04-03,156000,0
2013-04-08,248294,0
2013-04-09,-839694,-161000
2013-04-10,89000,150000
2013-04-11,-69633,225000
2013-04-12,-188000,462000
2013-04-15,-318642,336000
2013-04-16,112634,32000
2013-04-17,119000,291000
2013-04-18,-156000,96000
2013-04-19,1875000,845155
2013-04-22,-50000,2264000
2013-04-23,-728000,296000
2013-04-24,211650,282000
2013-04-25,885405,130000
2013-04-26,61000,641000
2013-04-29,421000,751000
2013-04-30,1550000,2407000
2013-05-02,3295812,616000
2013-05-03,37000,259000
2013-05-06,-35312,235000
2013-05-07,1656251,-155000
2013-05-08,2739275,227000
2013-05-09,972390,-58000
2013-05-10,1173000,-333000
2013-05-13,1199700,-52000
2013-05-14,1662000,-921000
2013-05-15,534300,-947000
2013-05-16,959000,140000
2013-05-17,583030,-1038000
2013-05-20,441062,-215000
2013-05-21,416214,-640000
2013-05-22,12000,-73000
2013-05-23,-816140,-146000
2013-05-24,-1056775,-1316000
2013-05-27,463258,-1293000
2013-05-28,850000,-533000
2013-05-29,424000,-711000
2013-05-30,-1336000,-439000
2013-05-31,-751961,-679000
2013-06-03,-1229590,-836000
2013-06-04,-677000,-805000
2013-06-05,-217665,-1819666
2013-06-06,-2956406,-1381000
2013-06-07,-1345766,-44000
2013-06-10,1115000,-197000
2013-06-11,-240422,-581000
2013-06-13,-654000,48000
