date,stock_id,ClosingPriceonTheLastTradingDay,PostReductionReferencePrice,LimitUp,LimitDown,OpeningReferencePrice,ExrightReferencePrice,ReasonforCapitalReduction
2015-10-05,2492,13.0,13.65,15.0,12.3,13.65,-1.0,Cash refund
2016-09-23,2492,35.2,37.24,40.95,33.55,37.25,-1.0,Cash refund
2017-09-19,2492,70.7,74.72,82.1,67.3,74.7,-1.0,Cash refund
