date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-08-09,3596,98年,0.0,0.1999579,2010-08-03,0.0,0.0,0.0,0.0,2.29951,0.0,2010-08-03,,66373616.0,0.0,0.0,0.0,6637363.0,0.0,2010-07-12,17:59:38
2011-08-06,3596,99年,0.8998073,0.1999572,2011-07-29,0.0,0.0,0.0,0.0,1.09976,0.0,2011-07-29,,67295601.0,0.0,0.0,0.0,6729559.0,0.0,2011-07-14,16:58:31
2012-08-04,3596,100年,0.0,0.0,,0.0,0.0,0.0,0.0,1.4997,0.0,2012-07-27,,62962459.0,0.0,0.0,0.0,6296246.0,0.0,2012-07-12,17:32:41
2013-08-06,3596,101年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2013-07-31,,38187006.0,0.0,0.0,0.0,3415906.0,0.0,2013-07-16,17:55:58
2013-11-25,3596,102年,0.0,0.0,2013-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,20000000.0,11.1382265,33.0,3415906.0,0.0,2013-11-13,09:53:04
2014-07-18,3596,102年,0.0,0.0,,0.0,0.0,0.0,0.0,1.8,0.3,2014-07-10,,63582217.0,0.0,0.0,0.0,6179112.0,0.0,2014-06-24,18:06:08
2015-01-02,3596,103年,0.0,0.0,2014-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,25000000.0,12.181541018,34.8,6179112.0,0.0,2014-12-19,14:16:56
2015-08-07,3596,103年,0.0,0.0,,0.0,0.0,0.0,0.0,2.2,0.0,2015-07-30,2015-08-28,74763531.0,0.0,0.0,0.0,7185812.0,0.0,2015-07-14,15:19:27
2016-07-31,3596,104年,0.0,0.0,,0.0,0.0,0.0,0.0,1.6,0.0,2016-07-25,2016-08-19,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-06,15:21:22
2017-07-14,3596,105年,0.0,0.0,,0.0,0.0,0.0,0.0,3.9,0.0,2017-07-06,2017-08-04,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-20,15:04:01
2018-07-21,3596,106年,0.0,0.0,,0.0,0.0,0.0,0.0,1.6,0.4,2018-07-13,2018-08-10,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-28,10:23:27
2019-08-10,3596,107年,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.5,2019-08-02,2019-08-30,0.0,0.0,0.0,0.0,0.0,193555090.0,2019-07-17,14:30:44
2019-10-29,3596,不適用,0.0,0.0,2019-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,15000000.0,6.199785291,72.0,0.0,193555090.0,2019-10-16,16:06:54
2020-07-25,3596,108年,0.0,0.0,,0.0,0.0,0.0,0.0,4.50010792,0.20000479,2020-07-17,2020-08-14,0.0,0.0,0.0,0.0,0.0,208478090.0,2020-07-02,14:18:40
2021-04-22,3596,109年,0.0,0.0,,0.0,0.0,0.0,0.0,5.49873625,0.99977022,2021-04-15,2021-05-14,0.0,0.0,0.0,0.0,0.0,208424480.0,2021-04-09,11:22:45
2022-07-10,3596,110年,0.0,0.0,,0.0,0.0,0.0,0.0,5.72240092,0.98662085,2022-07-04,2022-07-29,0.0,0.0,0.0,0.0,0.0,220354321.0,2022-05-06,09:14:44
2023-07-19,3596,111年,0.0,0.0,,0.0,0.0,0.0,0.0,5.5,1.0,2023-07-13,2023-08-09,0.0,0.0,0.0,0.0,0.0,220354321.0,2023-06-19,17:08:18
2024-07-21,3596,112年,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,1.0,2024-07-15,2024-08-09,0.0,0.0,0.0,0.0,0.0,220354321.0,2024-06-07,16:54:10
2025-06-08,3596,113年,0.0,0.0,,0.0,0.0,0.0,0.0,6.5,1.0,2025-06-02,2025-06-27,0.0,0.0,0.0,0.0,0.0,220354321.0,2025-05-08,09:46:10
2026-04-02,3596,114年,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,1.0,2026-03-26,2026-04-29,0.0,0.0,0.0,0.0,0.0,220354321.0,2026-03-10,15:06:22
