date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-08-21,2347,98年,0.99232021,0.0,2010-08-13,0.0,0.0,0.0,0.0,2.40141492,0.0,2010-08-13,,251000000.0,0.0,0.0,0.0,6000000.0,0.0,2010-07-29,18:01:48
2011-07-27,2347,99年,0.0,0.0,,0.0,0.0,0.0,0.0,2.24816094,0.0,2011-07-21,,90000000.0,0.0,0.0,0.0,6000000.0,0.0,2011-07-06,16:35:50
2012-07-31,2347,100年,0.0,0.0,,0.0,0.0,0.0,0.0,3.99945549,0.0,2012-07-25,,75000000.0,0.0,0.0,0.0,6000000.0,0.0,2012-07-10,16:11:46
2013-07-31,2347,101年,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2013-07-25,,600000.0,0.0,0.0,0.0,10000000.0,0.0,2013-07-10,16:46:22
2014-07-16,2347,102年,0.0,0.0,,0.0,0.0,0.0,0.0,2.8,0.0,2014-07-10,,600000.0,0.0,0.0,0.0,7600000.0,0.0,2014-06-26,09:47:28
2015-08-05,2347,103年,0.0,0.0,,0.0,0.0,0.0,0.0,3.3,0.0,2015-07-30,2015-08-26,600000.0,0.0,0.0,0.0,7600000.0,0.0,2015-07-16,10:17:04
2016-09-05,2347,104年,0.5,0.0,2016-08-30,0.0,0.0,0.0,0.0,1.5,0.0,2016-08-30,2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-15,15:08:51
2017-09-03,2347,105年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2017-08-28,2017-09-22,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-14,09:01:03
2018-08-28,2347,106年,0.0,0.0,,0.0,0.0,0.0,0.0,2.2,0.0,2018-08-22,2018-09-19,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-08,11:50:02
2019-08-31,2347,107年,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2019-08-23,2019-09-20,0.0,0.0,0.0,0.0,0.0,1667946968.0,2019-08-08,09:11:20
2020-06-22,2347,108年,0.0,0.0,,0.0,0.0,0.0,0.0,2.6,0.0,2020-06-16,2020-07-15,0.0,0.0,0.0,0.0,0.0,1667946968.0,2020-06-01,16:48:31
2021-06-14,2347,109年,0.0,0.0,,0.0,0.0,0.0,0.0,3.3,0.0,2021-06-08,2021-07-06,0.0,0.0,0.0,0.0,0.0,1667946968.0,2021-05-25,16:41:55
2022-06-15,2347,110年,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,2022-06-09,2022-07-06,0.0,0.0,0.0,0.0,0.0,1667946968.0,2022-05-23,09:21:09
2023-06-13,2347,111年,0.0,0.0,,0.0,0.0,0.0,0.0,3.5,0.0,2023-06-07,2023-07-06,0.0,0.0,0.0,0.0,0.0,1667946968.0,2023-05-23,14:47:25
2024-06-30,2347,112年,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,2024-06-24,2024-07-19,0.0,0.0,0.0,0.0,0.0,1667946968.0,2024-06-06,14:28:04
2025-06-29,2347,113年,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,2025-06-23,2025-07-18,0.0,0.0,0.0,0.0,0.0,1667946968.0,2025-06-06,14:37:40
2026-07-19,2347,114年,0.0,0.0,,0.0,0.0,0.0,0.0,4.2,0.0,2026-07-13,2026-08-07,0.0,0.0,0.0,0.0,0.0,1667946968.0,2026-06-26,14:06:50
