date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-08-31,1231,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.7,0.0,2010-08-25,,2025642.0,0.0,0.0,0.0,2025642.0,0.0,2010-08-09,17:25:22
2011-08-17,1231,99年,0.3,0.0,2011-08-11,0.0,0.0,0.0,0.0,1.1,0.0,2011-08-11,,5421033.0,0.0,0.0,0.0,5421032.0,0.0,2011-07-28,09:43:50
2012-08-21,1231,100年,0.3,0.0,2012-08-15,0.0,0.0,0.0,0.0,1.2,0.0,2012-08-15,,6453115.0,0.0,0.0,0.0,6453115.0,0.0,2012-07-31,16:43:23
2013-09-02,1231,101年,0.8,0.0,2013-08-27,0.0,0.0,0.0,0.0,1.2,0.0,2013-08-27,,5830877.0,0.0,0.0,0.0,5830876.0,0.0,2013-08-12,18:57:54
2014-09-03,1231,102年,1.2,0.0,2014-08-28,0.0,0.0,0.0,0.0,1.0,0.0,2014-08-28,2014-09-26,6167496.0,0.0,0.0,0.0,6167493.0,0.0,2014-08-13,18:08:08
2015-09-06,1231,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.9,0.0,2015-08-31,2015-09-25,4010567.0,0.0,0.0,0.0,4010553.0,0.0,2015-08-13,15:06:02
2016-09-04,1231,104年,0.33,0.0,2016-08-29,0.0,0.0,0.0,0.0,1.32,0.0,2016-08-29,2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-12,11:56:21
2017-09-03,1231,105年,0.45,0.0,2017-08-28,0.0,0.0,0.0,0.0,1.75,0.0,2017-08-28,2017-09-29,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-11,15:48:04
2018-09-02,1231,106年,0.4,0.0,2018-08-27,0.0,0.0,0.0,0.0,1.4,0.0,2018-08-27,2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-10,17:48:25
2019-09-04,1231,107年,0.5,0.0,2019-08-29,0.0,0.0,0.0,0.0,1.8,0.0,2019-08-29,2019-10-04,0.0,0.0,0.0,0.0,0.0,166281329.0,2019-08-14,16:02:39
2020-08-03,1231,108年,0.5,0.0,2020-07-28,0.0,0.0,0.0,0.0,1.6,0.0,2020-07-28,2020-08-28,0.0,0.0,0.0,0.0,0.0,174595395.0,2020-07-10,09:58:11
2021-08-08,1231,109年,0.0,0.0,,0.0,0.0,0.0,0.0,1.6,0.0,2021-08-02,2021-08-27,0.0,0.0,0.0,0.0,0.0,183325165.0,2021-07-14,11:59:54
2021-08-28,1231,109年,1.0,0.0,2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,183325165.0,2021-08-05,20:19:03
2022-07-10,1231,110年,1.1,0.0,2022-07-04,0.0,0.0,0.0,0.0,1.5,0.0,2022-07-04,2022-08-05,0.0,0.0,0.0,0.0,0.0,201762394.0,2022-06-17,17:29:36
2023-07-19,1231,111年,1.0,0.0,2023-07-13,0.0,0.0,0.0,0.0,1.6,0.0,2023-07-13,2023-08-18,0.0,0.0,0.0,0.0,0.0,224233265.0,2023-06-28,17:07:51
2024-08-11,1231,112年,1.0,0.0,2024-08-05,0.0,0.0,0.0,0.0,1.6,0.0,2024-08-05,2024-09-06,0.0,0.0,0.0,0.0,0.0,246656591.0,2024-07-19,15:28:42
2025-08-27,1231,113年,1.0,0.0,2025-08-21,0.0,0.0,0.0,0.0,1.6,0.0,2025-08-21,2025-09-26,0.0,0.0,0.0,0.0,0.0,271322250.0,2025-08-05,15:11:48
