date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2023-07-20,3715,111年,0.0,0.0,,0.0,0.0,0.0,0.0,0.79981896,0.0,2023-07-13,2023-08-10,0.0,0.0,0.0,0.0,0.0,277611758.0,2023-06-29,10:03:20
2024-07-18,3715,112年,0.0,0.0,,0.0,0.0,0.0,0.0,1.5,0.0,2024-07-11,2024-08-08,0.0,0.0,0.0,0.0,0.0,277674584.0,2024-06-17,16:20:32
2025-06-02,3715,113年,0.0,0.0,,0.0,0.0,0.0,0.0,1.5,0.0,2025-05-27,2025-06-23,0.0,0.0,0.0,0.0,0.0,277674584.0,2025-05-09,10:00:05
2025-12-15,3715,不適用,0.0,0.0,2025-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5900000.0,1.699831483,105.0,0.0,277674584.0,2025-12-02,16:41:41
2026-07-08,3715,114年,0.0,0.0,,0.0,0.0,0.0,0.0,1.08,0.0,2026-07-02,2026-07-29,0.0,0.0,0.0,0.0,0.0,283574584.0,2026-06-16,17:25:36
