date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2011-08-20,3016,99年,0.299447,0.0,2011-08-12,0.0,0.0,0.0,0.0,0.299447,0.0,2011-08-12,,13737004.0,0.0,0.0,0.0,2060540.0,0.0,2011-07-28,17:37:07
2012-07-16,3016,100年,0.0,0.0,,0.0,0.0,0.0,0.0,0.19532548,0.0,2012-07-10,,2177025.0,0.0,0.0,0.0,326000.0,0.0,2012-06-25,15:36:03
2015-07-13,3016,103年,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,2015-07-07,2015-08-05,1519476.0,0.0,0.0,0.0,423000.0,0.0,2015-06-22,13:27:39
2017-12-16,3016,106年,0.0,0.0,2017-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,30000000.0,9.81991443,29.8,0.0,0.0,2017-12-01,16:14:15
2018-08-07,3016,107年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2018-08-01,2018-08-29,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-17,10:08:14
2019-07-09,3016,107年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2019-07-03,2019-07-31,0.0,0.0,0.0,0.0,0.0,274401315.0,2019-06-18,14:49:37
2020-07-18,3016,108年,0.0,0.0,,0.0,0.0,0.0,0.0,0.24721622,0.0,2020-07-10,2020-08-07,0.0,0.0,0.0,0.0,0.0,277491213.0,2020-06-22,16:50:27
2021-07-19,3016,109年,0.0,0.0,,0.0,0.0,0.0,0.0,0.24955765,0.0,2021-07-13,2021-08-05,0.0,0.0,0.0,0.0,0.0,280538097.0,2021-06-25,14:18:43
2022-04-27,3016,不適用,0.0,0.0,2022-04-21,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3300000.0,0.869288859,82.0,0.0,284715486.0,2022-04-14,16:45:29
2022-07-23,3016,110年,0.0,0.0,,0.0,0.0,0.0,0.0,1.18483932,0.0,2022-07-15,2022-08-12,0.0,0.0,0.0,0.0,0.0,288015486.0,2022-06-28,15:48:38
2023-07-12,3016,111年,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2023-07-06,2023-08-03,0.0,0.0,0.0,0.0,0.0,288539369.0,2023-06-19,11:57:18
2024-07-12,3016,112年,0.0,0.0,,0.0,0.0,0.0,0.0,0.49999575,0.0,2024-07-04,2024-08-01,0.0,0.0,0.0,0.0,0.0,288541819.0,2024-06-19,14:08:42
2025-07-15,3016,113年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2025-07-09,2025-08-04,0.0,0.0,0.0,0.0,0.0,288541819.0,2025-06-24,16:14:47
2026-07-05,3016,114年,0.0,0.0,,0.0,0.0,0.0,0.0,0.49687439,0.0,2026-06-29,2026-07-22,0.0,0.0,0.0,0.0,0.0,290356903.0,2026-06-11,14:49:08
