date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-07-21,9917,98年,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,2010-07-15,,11638352.0,0.0,0.0,0.0,58191762.0,0.0,2010-06-29,17:32:07
2011-07-21,9917,99年,0.0,0.0,,0.0,0.0,0.0,0.0,3.1,0.0,2011-07-14,,13576151.0,0.0,0.0,0.0,67880753.0,0.0,2011-06-29,18:02:49
2012-07-21,9917,100年,0.0,0.0,,0.0,0.0,0.0,0.0,3.3,0.0,2012-07-13,,14938529.0,0.0,0.0,0.0,74692646.0,0.0,2012-06-29,09:18:40
2013-07-21,9917,101年,0.0,0.0,,0.0,0.0,0.0,0.0,3.2,0.2,2013-07-15,,16378290.0,0.0,0.0,0.0,81891450.0,0.0,2013-06-28,11:50:23
2014-09-03,9917,102年,0.15,0.0,2014-08-28,0.0,0.0,0.0,0.0,3.5,0.0,2014-08-28,2014-10-08,24212902.0,0.0,0.0,0.0,121064510.0,0.0,2014-08-14,17:00:13
2015-07-26,9917,103年,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,2015-07-20,2015-08-20,18305475.0,0.0,0.0,0.0,91527375.0,0.0,2015-07-03,09:48:20
2016-07-26,9917,104年,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,2016-07-20,2016-08-19,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-05,15:24:15
2017-07-26,9917,105年,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.5,2017-07-20,2017-08-21,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-05,14:35:36
2018-07-28,9917,106年,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,2018-07-20,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-05,09:29:23
2019-07-24,9917,107年,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,2019-07-18,2019-08-20,0.0,0.0,0.0,0.0,0.0,451197093.0,2019-07-03,16:56:18
2020-07-29,9917,108年,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,2020-07-23,2020-08-20,0.0,0.0,0.0,0.0,0.0,451197093.0,2020-07-08,10:26:20
2021-08-02,9917,109年,0.0,0.0,,0.0,0.0,0.0,0.0,4.92,0.08,2021-07-27,2021-08-20,0.0,0.0,0.0,0.0,0.0,451197093.0,2021-07-14,11:50:39
2022-06-28,9917,110年,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,2022-06-22,2022-07-15,0.0,0.0,0.0,0.0,0.0,451197093.0,2022-06-07,15:10:57
2023-06-26,9917,111年,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,2023-06-20,2023-07-14,0.0,0.0,0.0,0.0,0.0,451197093.0,2023-06-02,14:58:24
2024-06-30,9917,112年,0.0,0.0,,0.0,0.0,0.0,0.0,5.2,0.0,2024-06-24,2024-07-16,0.0,0.0,0.0,0.0,0.0,451197093.0,2024-06-06,14:38:15
2025-06-30,9917,113年,0.0,0.0,,0.0,0.0,0.0,0.0,5.2,0.0,2025-06-24,2025-07-16,0.0,0.0,0.0,0.0,0.0,451197093.0,2025-06-06,15:16:03
2026-06-30,9917,114年,0.0,0.0,,0.0,0.0,0.0,0.0,5.7,0.0,2026-06-24,2026-07-16,0.0,0.0,0.0,0.0,0.0,451197093.0,2026-06-08,17:06:54
2026-09-06,9917,114年,0.5,0.0,2026-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,451197093.0,2026-08-13,18:36:09
