date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-08-14,1609,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.13926,0.0,2010-08-06,,901206.0,0.0,0.0,0.0,2703619.0,0.0,2010-07-23,10:59:58
2011-08-22,1609,99年,0.1,0.0,2011-08-16,0.0,0.0,0.0,0.0,0.35,0.0,2011-08-16,,3653884.0,0.0,0.0,0.0,10961651.0,0.0,2011-07-29,17:42:14
2012-08-12,1609,100年,0.0,0.0,,0.0,0.0,0.0,0.0,0.25349539,0.0,2012-08-06,,2656489.0,0.0,0.0,0.0,7969466.0,0.0,2012-07-13,16:12:10
2013-08-27,1609,101年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20279631,0.0,2013-08-21,,1108251.0,0.0,0.0,0.0,3324754.0,0.0,2013-08-06,16:16:18
2014-08-27,1609,102年,0.0,0.0,,0.0,0.0,0.0,0.0,0.20279631,0.0,2014-08-21,2014-09-18,1283513.0,0.0,0.0,0.0,3850539.0,0.0,2014-08-05,16:13:49
2018-07-28,1609,106年,0.0,0.0,,0.0,0.0,0.0,0.0,0.35,0.0,2018-07-20,2018-08-15,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-03,16:32:27
2019-08-11,1609,107年,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,2019-08-05,2019-08-29,0.0,0.0,0.0,0.0,0.0,572180791.0,2019-07-10,15:46:37
2019-08-31,1609,107年,0.4,0.0,2019-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,572180791.0,2019-08-06,17:39:45
2020-07-24,1609,108年,0.0,0.0,,0.0,0.0,0.0,0.0,0.30279865,0.0,2020-07-16,2020-07-31,0.0,0.0,0.0,0.0,0.0,589568022.0,2020-06-30,16:35:34
2021-10-19,1609,109年,0.35,0.0,2021-10-13,0.0,0.0,0.0,0.0,0.35,0.0,2021-10-13,2021-10-29,0.0,30000000.0,3.78108034,21.0,0.0,595068022.0,2021-10-05,17:02:28
2022-09-04,1609,110年,0.6,0.0,2022-08-29,0.0,0.0,0.0,0.0,0.35,0.0,2022-08-29,2022-09-16,0.0,0.0,0.0,0.0,0.0,645895402.0,2022-08-12,14:35:19
2023-08-06,1609,111年,0.09608766,0.0,2023-07-31,0.0,0.0,0.0,0.0,0.48043835,0.0,2023-07-31,2023-08-18,0.0,0.0,0.0,0.0,0.0,712525460.0,2023-07-14,14:06:38
2024-08-24,1609,112年,0.5,0.0,2024-08-16,0.0,0.0,0.0,0.0,1.2,0.0,2024-08-16,2024-09-12,0.0,0.0,0.0,0.0,0.0,736816274.0,2024-08-02,10:36:03
2025-07-20,1609,113年,0.15,0.0,2025-07-14,0.0,0.0,0.0,0.0,0.75,0.0,2025-07-14,2025-08-08,0.0,0.0,0.0,0.0,0.0,773657087.0,2025-06-27,10:41:48
2026-06-29,1609,114年,0.0,0.0,,0.0,0.0,0.0,0.0,0.7,0.0,2026-06-23,2026-07-15,0.0,0.0,0.0,0.0,0.0,785261944.0,2026-06-05,14:04:32
