date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-07-23,1301,99年,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,2010-07-15,,79391204.0,0.0,0.0,0.0,0.0,0.0,2010-06-29,16:59:56
2011-07-17,1301,100年,0.0,0.0,,0.0,0.0,0.0,0.0,6.8,0.0,2011-07-11,,111899478.0,0.0,0.0,0.0,0.0,0.0,2011-06-24,11:53:32
2012-07-15,1301,101年,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.0,2012-07-09,,72842751.0,0.0,0.0,0.0,0.0,0.0,2012-06-20,16:54:20
2013-07-23,1301,101年,0.4,0.0,2013-07-17,0.0,0.0,0.0,0.0,1.2,0.0,2013-07-17,,13153022.0,0.0,0.0,0.0,0.0,0.0,2013-07-02,14:19:51
2014-07-11,1301,102年,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,0.0,2014-07-03,,30000216.0,0.0,0.0,0.0,0.0,0.0,2014-06-19,11:09:30
2015-07-21,1301,103年,0.0,0.0,,0.0,0.0,0.0,0.0,1.7,0.0,2015-07-15,2015-08-12,26686326.0,0.0,0.0,0.0,0.0,0.0,2015-07-01,11:00:55
2016-07-19,1301,104年,0.0,0.0,,0.0,0.0,0.0,0.0,3.6,0.0,2016-07-13,2016-08-10,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-23,11:05:39
2017-07-18,1301,105年,0.0,0.0,,0.0,0.0,0.0,0.0,4.6,0.0,2017-07-12,2017-08-09,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-21,16:56:49
2018-07-17,1301,106年,0.0,0.0,,0.0,0.0,0.0,0.0,5.7,0.0,2018-07-11,2018-08-08,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-27,10:02:43
2019-07-08,1301,107年,0.0,0.0,,0.0,0.0,0.0,0.0,5.8,0.0,2019-07-02,2019-08-02,0.0,0.0,0.0,0.0,0.0,6365740781.0,2019-06-18,09:19:42
2020-07-08,1301,108年,0.0,0.0,,0.0,0.0,0.0,0.0,4.4,0.0,2020-07-02,2020-07-31,0.0,0.0,0.0,0.0,0.0,6365740781.0,2020-06-15,16:16:05
2021-08-07,1301,109年,0.0,0.0,,0.0,0.0,0.0,0.0,2.4,0.0,2021-07-30,2021-08-27,0.0,0.0,0.0,0.0,0.0,6365740781.0,2021-07-14,14:39:03
2022-07-11,1301,110年,0.0,0.0,,0.0,0.0,0.0,0.0,8.2,0.0,2022-07-05,2022-08-05,0.0,0.0,0.0,0.0,0.0,6365740781.0,2022-06-20,08:55:44
2023-07-03,1301,111年,0.0,0.0,,0.0,0.0,0.0,0.0,4.2,0.0,2023-06-27,2023-07-26,0.0,0.0,0.0,0.0,0.0,6365740781.0,2023-06-07,15:33:46
2024-07-29,1301,112年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2024-07-23,2024-08-21,0.0,0.0,0.0,0.0,0.0,6365740781.0,2024-07-08,09:34:33
2025-07-21,1301,113年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2025-07-15,2025-08-15,0.0,0.0,0.0,0.0,0.0,6365740781.0,2025-06-19,17:31:34
2026-07-06,1301,114年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2026-06-30,2026-08-04,0.0,0.0,0.0,0.0,0.0,6365740781.0,2026-06-12,09:16:03
