date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2021-08-30,6830,109年,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2021-08-24,2021-09-16,0.0,0.0,0.0,0.0,0.0,41277175.0,2021-08-09,17:56:46
2022-07-18,6830,110年,0.0,0.0,,0.0,0.0,0.0,0.0,4.5,0.0,2022-07-12,2022-08-01,0.0,0.0,0.0,0.0,0.0,41277175.0,2022-06-28,12:26:22
2023-07-01,6830,111年,0.0,0.0,,0.0,0.0,0.0,0.0,5.5,0.0,2023-06-21,2023-07-20,0.0,0.0,0.0,0.0,0.0,46781175.0,2023-06-06,17:30:59
2024-07-17,6830,112年,0.0,0.0,,0.0,0.0,0.0,0.0,4.5,0.0,2024-07-11,2024-07-31,0.0,0.0,0.0,0.0,0.0,46781175.0,2024-06-27,10:39:23
2024-08-14,6830,不適用,0.0,0.0,2024-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5000000.0,8.016044916,120.0,0.0,46781175.0,2024-08-01,17:13:49
2025-07-15,6830,113年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2025-07-09,2025-08-05,0.0,0.0,0.0,0.0,0.0,51781846.0,2025-06-23,17:10:36
2026-04-17,6830,114年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2026-04-09,2026-05-08,0.0,0.0,0.0,0.0,0.0,53446888.0,2026-03-23,11:49:20
