date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-07-19,2404,98年,0.0,0.0,,0.0,0.0,0.0,0.0,1.5147,0.0,2010-07-13,,27762337.0,0.0,0.0,0.0,6940584.0,0.0,2010-06-28,17:38:50
2011-07-23,2404,99年,0.0,0.0,,0.0,0.0,0.0,0.0,3.9725,0.0,2011-07-15,,81480646.0,0.0,0.0,0.0,20370161.0,0.0,2011-07-01,09:44:24
2012-07-18,2404,100年,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,2012-07-12,,60256827.0,0.0,0.0,0.0,15064207.0,0.0,2012-07-02,11:30:02
2013-07-09,2404,101年,0.0,0.0,,0.0,0.0,0.0,0.0,1.8,0.0,2013-07-03,,34184926.0,0.0,0.0,0.0,8546231.0,0.0,2013-06-19,15:22:00
2014-07-13,2404,102年,0.0,0.0,,0.0,0.0,0.0,0.0,2.4,0.0,2014-07-07,,89910103.0,0.0,0.0,0.0,22477526.0,0.0,2014-06-20,17:50:38
2015-07-11,2404,103年,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2015-07-03,2015-07-31,60225329.0,0.0,0.0,0.0,15056332.0,0.0,2015-06-17,11:02:56
2016-07-06,2404,104年,0.0,0.0,,0.0,0.0,0.0,0.0,4.5,0.0,2016-06-30,2016-07-27,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-16,09:09:11
2017-07-17,2404,105年,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,2017-07-11,2017-08-07,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-27,10:22:11
2018-07-08,2404,106年,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,1.0,2018-07-02,2018-07-27,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-13,10:18:44
2019-07-15,2404,107年,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,2019-07-09,2019-08-05,0.0,0.0,0.0,0.0,0.0,190586698.0,2019-06-21,10:24:18
2020-06-23,2404,108年,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,0.0,2020-06-17,2020-07-14,0.0,0.0,0.0,0.0,0.0,190586698.0,2020-06-01,10:41:10
2021-06-26,2404,109年,0.0,0.0,,0.0,0.0,0.0,0.0,17.0,0.0,2021-06-18,2021-07-16,0.0,0.0,0.0,0.0,0.0,190586698.0,2021-06-02,16:58:17
2022-07-04,2404,110年,0.0,0.0,,0.0,0.0,0.0,0.0,13.12529673,0.0,2022-06-28,2022-07-25,0.0,0.0,0.0,0.0,0.0,187586698.0,2022-06-08,17:52:47
2023-07-20,2404,111年,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,0.0,2023-07-13,2023-08-10,0.0,0.0,0.0,0.0,0.0,187586698.0,2023-06-20,17:58:13
2024-07-20,2404,112年,0.0,0.0,,0.0,0.0,0.0,0.0,21.0,0.0,2024-07-12,2024-08-09,0.0,0.0,0.0,0.0,0.0,187586698.0,2024-06-26,16:25:32
2025-07-25,2404,113年,0.0,0.0,,0.0,0.0,0.0,0.0,28.0,0.0,2025-07-17,2025-08-15,0.0,0.0,0.0,0.0,0.0,188586698.0,2025-07-02,09:04:34
