date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2012-08-12,2867,101年,0.0,0.0,2012-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,60000000.0,4.02251,15.0,0.0,0.0,2012-07-17,19:27:08
2013-08-11,2867,101年,0.6,0.0,2013-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,,9585385.0,0.0,0.0,0.0,4664282.0,0.0,2013-07-19,14:46:12
2014-05-03,2867,103年,0.0,0.0,2014-04-25,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,60000000.0,3.169907,16.8,0.0,0.0,2014-04-18,16:14:44
2014-09-06,2867,102年,0.0,0.5,2014-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2014-08-14,16:40:10
2015-08-09,2867,103年,1.0,0.0,2015-08-03,0.0,0.0,0.0,0.0,0.3,0.0,2015-08-03,2015-08-28,35650825.0,0.0,0.0,0.0,17759957.0,0.0,2015-07-17,16:53:15
2015-12-07,2867,104年,0.0,0.0,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,100000000.0,4.72380775,17.0,17759957.0,0.0,2015-11-24,16:52:52
2016-09-03,2867,104年,0.0,0.5,2016-08-26,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-11,17:48:34
2017-07-05,2867,106年,0.0,0.0,2017-06-29,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,100000000.0,4.498864522,13.3,0.0,0.0,2017-06-22,18:07:34
2017-09-20,2867,105年,0.867936922,0.0,2017-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-29,14:32:56
2018-08-13,2867,106年,1.57,0.0,2018-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-23,14:23:32
2018-12-10,2867,107年,0.0,0.0,2018-12-04,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,150000000.0,5.063071307,11.3,0.0,0.0,2018-11-27,17:17:50
2020-11-18,2867,不適用,0.0,0.0,2020-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,130000000.0,4.110504751,7.55,0.0,2371971471.0,2020-11-05,15:54:54
2021-07-11,2867,不適用,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,130000000.0,3.896926928,8.3,0.0,2501971471.0,2021-06-28,17:06:45
2021-10-18,2867,109年,0.0,0.1425911087,2021-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2631971471.0,2021-09-24,15:17:56
2022-03-01,2867,不適用,0.0,0.0,2022-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,430000000.0,12.886303258,8.2,0.0,2669501044.0,2022-02-16,17:04:12
2022-10-26,2867,不適用,0.0,0.0,2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1000000000.0,25.810605921,5.2,0.0,3099501044.0,2022-10-13,16:59:09
2023-03-07,2867,不適用,0.0,0.0,2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,500000000.0,9.757284989,5.05,0.0,4099501044.0,2023-02-20,16:38:51
2023-11-18,2867,不適用,0.0,0.0,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,500000000.0,8.696595482,5.0,0.0,4599501044.0,2023-11-03,15:02:48
2024-08-05,2867,不適用,0.0,0.0,2024-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,300000000.0,4.706342796,6.8,0.0,5099501044.0,2024-07-23,16:10:30
2024-12-06,2867,不適用,0.0,0.0,2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,300000000.0,4.444855145,6.3,0.0,5399501044.0,2024-11-21,17:21:07
2025-09-08,2867,不適用,0.0,0.0,2025-09-02,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,200000000.0,2.80726328,5.25,0.0,5699501044.0,2025-08-26,15:17:37
