date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-08-28,8039,98年,0.0,0.7285984615,2010-08-20,0.0,0.0,0.0,0.0,1.21433078,0.0,2010-08-20,,32782526.0,0.0,0.0,0.0,9834758.0,0.0,2010-08-05,18:38:11
2011-01-24,8039,99年,0.0,0.0,2011-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,7000000.0,2.8877675,58.0,20348029.0,0.0,2011-01-11,14:42:08
2011-08-22,8039,99年,0.0,0.64888592,2011-08-16,0.0,0.0,0.0,0.0,2.34597231,0.0,2011-08-16,,67826763.0,0.0,0.0,0.0,20348029.0,0.0,2011-08-02,18:06:14
2012-08-22,8039,100年,0.0,0.0,,0.0,0.0,0.0,0.0,1.79915544,0.0,2012-08-16,,53031966.0,0.0,0.0,0.0,15909590.0,0.0,2012-08-03,10:27:08
2013-08-27,8039,101年,0.0,0.0,,0.0,0.0,0.0,0.0,1.4996299,0.0,2013-08-21,,55805994.0,0.0,0.0,0.0,16741798.0,0.0,2013-08-06,12:50:16
2014-07-29,8039,102年,0.0,0.0,,0.0,0.0,0.0,0.0,2.49898314,0.0,2014-07-23,2014-08-15,90481130.0,0.0,0.0,0.0,27144339.0,0.0,2014-07-09,17:39:13
2015-09-01,8039,103年,0.0,0.0,,0.0,0.0,0.0,0.0,2.99985145,0.0,2015-08-26,2015-09-15,79417867.0,0.0,0.0,0.0,23825360.0,0.0,2015-08-11,11:03:20
2016-08-27,8039,104年,0.0,0.2,2016-08-19,0.0,0.0,0.0,0.0,2.0,0.0,2016-08-19,2016-09-14,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-05,09:24:07
2017-08-23,8039,105年,0.0,0.0,,0.0,0.0,0.0,0.0,1.99917075,0.0,2017-08-17,2017-09-08,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-02,16:43:57
2018-08-17,8039,106年,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2018-08-09,2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-24,17:18:38
2019-07-07,8039,107年,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.5,2019-07-01,2019-07-18,0.0,0.0,0.0,0.0,0.0,209119692.0,2019-06-14,17:15:38
2020-07-12,8039,108年,0.0,0.0,,0.0,0.0,0.0,0.0,1.2,1.3,2020-07-06,2020-07-23,0.0,0.0,0.0,0.0,0.0,209119692.0,2020-06-17,16:55:54
2021-08-21,8039,109年,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2021-08-13,2021-09-03,0.0,0.0,0.0,0.0,0.0,209119692.0,2021-07-29,16:36:35
2022-07-26,8039,110年,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,2022-07-20,2022-08-11,0.0,0.0,0.0,0.0,0.0,209119692.0,2022-07-05,17:19:57
2023-07-15,8039,111年,0.0,0.0,,0.0,0.0,0.0,0.0,1.9,0.6,2023-07-07,2023-08-03,0.0,0.0,0.0,0.0,0.0,209119692.0,2023-06-20,16:04:21
2024-07-29,8039,112年,0.4598270464,0.0,2024-07-23,0.0,0.0,0.0,0.0,0.91965405,0.0,2024-07-23,2024-08-26,0.0,0.0,0.0,0.0,0.0,227389517.0,2024-07-08,16:55:43
2025-07-23,8039,113年,0.0,0.0,,0.0,0.0,0.0,0.0,2.49523885,0.0,2025-07-17,2025-08-07,0.0,0.0,0.0,0.0,0.0,256765999.0,2025-07-02,14:44:18
2026-07-06,8039,114年,0.0,0.0,,0.0,0.0,0.0,0.0,1.99335112,0.0,2026-06-30,2026-07-23,0.0,0.0,0.0,0.0,0.0,263803994.0,2026-06-12,17:48:36
