date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-12-13,2327,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.14953358,0.0,2010-12-07,,12129791.0,0.0,0.0,0.0,12129790.0,0.0,2010-11-19,18:16:06
2011-09-26,2327,99年,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,2011-09-20,,66962989.0,0.0,0.0,0.0,66962988.0,0.0,2011-09-02,15:17:44
2014-07-04,2327,102年,0.0,0.0,,0.0,0.0,0.0,0.0,0.10179575,0.0,2014-06-26,,61467928.0,0.0,0.0,0.0,61467928.0,0.0,2014-06-12,14:47:59
2015-07-06,2327,103年,0.0,0.0,,0.0,0.0,0.0,0.0,1.32058077,2.67963785,2015-06-30,2015-07-15,104302230.0,0.0,0.0,0.0,104302230.0,0.0,2015-06-26,18:49:53
2016-06-27,2327,104年,0.0,0.0,,0.0,0.0,0.0,0.0,1.55,0.45,2016-06-21,2016-07-07,0.0,0.0,0.0,0.0,0.0,0.0,2016-06-03,18:24:47
2017-06-30,2327,105年,0.0,0.0,,0.0,0.0,0.0,0.0,2.55,0.45,2017-06-22,2017-07-12,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-08,14:49:42
2018-07-15,2327,106年,1.9811666896,0.0,2018-07-09,0.0,0.0,0.0,0.0,14.22477692,0.64,2018-07-09,2018-08-08,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-20,10:57:37
2019-09-01,2327,107年,0.0,0.0,,0.0,0.0,0.0,0.0,44.13746317,0.69743169,2019-08-26,2019-10-03,0.0,0.0,0.0,0.0,0.0,425718658.0,2019-08-05,16:41:30
2020-06-28,2327,108年後半年度,0.0,0.0,,0.0,0.0,0.0,0.0,13.06165475,0.0,2020-06-22,2020-07-10,0.0,0.0,0.0,0.0,0.0,490702056.0,2020-06-05,16:12:53
2021-08-08,2327,109年後半年度,0.0,0.0,,0.0,0.0,0.0,0.0,8.06505137,2.01626284,2021-08-02,2021-08-20,0.0,0.0,0.0,0.0,0.0,491918857.0,2021-07-08,15:14:33
2022-07-10,2327,110年後半年度,0.0,0.0,,0.0,0.0,0.0,0.0,10.10281345,0.0,2022-07-04,2022-07-22,0.0,0.0,0.0,0.0,0.0,534560005.0,2022-06-17,14:49:12
2023-07-11,2327,111年後半年度,0.0,0.0,,0.0,0.0,0.0,0.0,9.99383643,0.0,2023-07-05,2023-07-26,0.0,0.0,0.0,0.0,0.0,418923472.0,2023-06-16,17:30:58
2024-07-05,2327,112年後半年度,0.0,0.0,,0.0,0.0,0.0,0.0,19.97238355,0.0,2024-06-27,2024-07-19,0.0,0.0,0.0,0.0,0.0,419836755.0,2024-06-13,09:51:24
2024-08-21,2327,112年後半年度,1.94836497,0.0,2024-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,430368069.0,2024-07-31,11:08:34
2025-06-21,2327,113年後半年度,0.0,0.0,,0.0,0.0,0.0,0.0,19.99501481,0.0,2025-06-13,2025-07-04,0.0,0.0,0.0,0.0,0.0,514347682.0,2025-05-27,17:15:20
