date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-08-01,6176,98年,0.3,0.0,2010-07-26,0.0,0.0,0.0,0.0,2.3,0.0,2010-07-26,,159379739.0,0.0,0.0,0.0,24519960.0,0.0,2010-07-08,18:15:37
2011-06-27,6176,99年,0.3,0.0,2011-06-21,0.0,0.0,0.0,0.0,3.8,0.0,2011-06-21,,280826604.0,0.0,0.0,0.0,46804434.0,0.0,2011-06-02,17:55:16
2012-08-22,6176,100年,0.3,0.0,2012-08-16,0.0,0.0,0.0,0.0,6.5,0.0,2012-08-16,,473847770.0,0.0,0.0,0.0,78974630.0,0.0,2012-07-31,15:49:43
2013-08-06,6176,101年,0.3,0.0,2013-07-31,0.0,0.0,0.0,0.0,8.0,0.0,2013-07-31,,587562259.0,0.0,0.0,0.0,97927043.0,0.0,2013-07-16,17:42:32
2014-08-07,6176,102年,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,0.0,2014-07-31,2014-08-27,508739464.0,0.0,0.0,0.0,84789911.0,0.0,2014-07-15,15:45:04
2015-07-28,6176,103年,0.0,0.0,,0.0,0.0,0.0,0.0,5.5,0.0,2015-07-22,2015-08-19,402460259.0,0.0,0.0,0.0,67076710.0,0.0,2015-07-07,15:19:46
2016-07-26,6176,104年,0.0,0.0,,0.0,0.0,0.0,0.0,4.5,0.0,2016-07-20,2016-08-17,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-05,15:48:49
2017-07-25,6176,105年,0.0,0.0,,0.0,0.0,0.0,0.0,4.5,0.0,2017-07-19,2017-08-17,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-04,15:57:18
2018-07-31,6176,106年,0.0,0.0,,0.0,0.0,0.0,0.0,4.8,0.0,2018-07-25,2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-10,14:09:46
2019-07-07,6176,107年,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,0.0,2019-07-01,2019-07-31,0.0,0.0,0.0,0.0,0.0,465027263.0,2019-06-14,17:01:22
2020-07-13,6176,108年,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,0.0,2020-07-07,2020-08-03,0.0,0.0,0.0,0.0,0.0,465027263.0,2020-06-18,17:09:19
2021-07-31,6176,109年,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,0.0,2021-07-23,2021-08-24,0.0,0.0,0.0,0.0,0.0,465027263.0,2021-06-29,17:35:38
2022-07-02,6176,110年,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,0.0,2022-06-24,2022-07-22,0.0,0.0,0.0,0.0,0.0,465027263.0,2022-06-09,16:56:40
2023-07-03,6176,111年,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,2023-06-27,2023-07-21,0.0,0.0,0.0,0.0,0.0,465027263.0,2023-06-09,11:15:28
2024-06-30,6176,112年,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,2024-06-24,2024-07-19,0.0,0.0,0.0,0.0,0.0,465027263.0,2024-06-06,17:31:15
2025-06-28,6176,113年,0.0,0.0,,0.0,0.0,0.0,0.0,10.60918838,0.0,2025-06-20,2025-07-18,0.0,0.0,0.0,0.0,0.0,460241263.0,2025-06-05,17:16:11
2026-06-07,6176,114年,0.0,0.0,,0.0,0.0,0.0,0.0,3.5,0.0,2026-06-01,2026-06-30,0.0,0.0,0.0,0.0,0.0,460241263.0,2026-04-02,15:34:11
