date,open,high,low,close,volume,turnover,transactions,price_change,close_adj
2010-01-04,72.8,76.1,72.8,75.5,21245114,1585276345,9091,4.3,75.5
2010-01-05,75.8,77.8,71.0,74.8,26992790,2030101669,12294,-0.7,74.8
2010-01-06,74.8,78.0,72.8,74.0,22528852,1708626048,10009,-0.8,74.0
2010-01-07,74.0,75.0,72.0,72.6,11363994,830464845,5362,-1.4,72.6
2010-01-08,72.1,73.9,70.2,73.1,12302116,885831814,5653,0.5,73.1
2010-01-11,76.0,76.0,72.6,72.9,16049518,1193152038,7251,-0.2,72.9
2010-01-12,72.7,75.0,72.2,73.7,13962678,1033761653,6552,0.8,73.7
2010-01-13,73.1,75.7,72.2,73.8,10874758,808029650,5657,0.1,73.8
2010-01-14,74.7,77.2,74.3,75.0,19690373,1493153909,9243,1.2,75.0
2010-01-15,75.9,77.6,74.5,74.5,15866121,1205048398,7159,-0.5,74.5
2010-01-18,74.5,75.9,74.0,75.0,9504269,713234075,4301,0.5,75.0
2010-01-19,75.9,75.9,72.0,72.0,10342419,755819409,5003,-3.0,72.0
2010-01-20,73.0,73.5,71.8,71.9,5219847,377713080,2651,-0.1,71.9
2010-01-21,71.8,72.5,70.0,70.0,6292326,446997320,3046,-1.9,70.0
2010-01-22,68.4,71.4,68.4,70.7,7244348,508051964,3740,0.7,70.7
2010-01-25,71.9,73.8,71.0,71.7,11547716,838163917,5186,1.0,71.7
2010-01-26,72.2,72.8,66.7,66.7,10354275,717425628,4854,-5.0,66.7
2010-01-27,66.7,67.5,62.2,63.0,8404823,543452405,3907,-3.7,63.0
2010-01-28,64.0,66.9,63.6,66.5,8640806,566494302,4167,3.5,66.5
2010-01-29,65.0,68.5,64.0,66.7,6595381,438656915,3612,0.2,66.7
2010-02-01,67.0,67.5,64.2,64.2,3151782,206743136,1790,-2.5,64.2
2010-02-02,65.6,65.7,60.5,61.5,5878120,371791685,3138,-2.7,61.5
2010-02-03,63.2,63.5,61.8,63.2,3809059,238875222,2137,1.7,63.2
2010-02-04,63.5,65.5,63.2,64.5,4195498,271037416,2378,1.3,64.5
2010-02-05,61.5,63.0,60.5,61.0,4050698,249432074,2138,-3.5,61.0
2010-02-06,61.0,62.6,59.6,61.5,4209170,258535552,2333,0.5,61.5
2010-02-08,62.4,62.9,61.2,61.8,2545968,158156116,1511,0.3,61.8
2010-02-09,62.1,64.4,61.8,63.8,3558643,225068583,1911,2.0,63.8
2010-02-10,64.5,65.8,63.8,63.9,4230714,273180860,2198,0.1,63.9
2010-02-22,64.5,64.5,59.7,60.5,6669190,411800724,3241,-3.4,60.5
2010-02-23,60.1,63.8,60.0,63.5,6160858,384060505,3211,3.0,63.5
2010-02-24,62.9,64.2,62.5,62.6,3839799,243655074,1965,-0.9,62.6
2010-02-25,62.6,66.5,62.6,64.7,10774951,701691124,5492,2.1,64.7
2010-02-26,65.3,67.0,64.5,64.8,6678070,436936312,3677,0.1,64.8
2010-03-01,64.8,64.8,63.0,64.0,3555479,227143499,1977,-0.8,64.0
2010-03-02,64.6,66.0,64.1,64.1,4057269,263824537,2377,0.1,64.1
2010-03-03,65.0,65.5,64.1,64.5,2818548,182501778,1495,0.4,64.5
2010-03-04,65.1,66.0,64.5,64.9,5353920,350062713,2594,0.4,64.9
2010-03-05,65.3,65.9,64.5,64.9,3272631,212661818,1740,0.0,64.9
2010-03-08,65.3,66.7,64.9,66.4,5745792,378689303,2909,1.5,66.4
2010-03-09,66.4,67.8,65.7,66.7,7426681,497821816,3756,0.3,66.7
2010-03-10,67.0,67.5,66.2,66.2,3451544,230554861,1908,-0.5,66.2
2010-03-11,66.2,66.7,65.4,65.4,2830104,186726295,1577,-0.8,65.4
2010-03-12,65.5,65.7,64.1,64.1,2452120,158880286,1418,-1.3,64.1
2010-03-15,64.1,64.6,62.0,62.3,3650120,229357122,1887,-1.8,62.3
2010-03-16,62.0,63.0,62.0,62.7,1727599,108220237,1041,0.4,62.7
2010-03-17,63.4,63.8,63.0,63.3,2396111,151899605,1317,0.6,63.3
2010-03-18,63.9,64.8,63.5,63.6,3480796,223084241,1789,0.3,63.6
2010-03-19,63.8,64.5,63.2,63.7,2494666,159416654,1178,0.1,63.7
2010-03-22,63.5,63.5,62.5,62.7,2379527,149734331,1200,-1.0,62.7
2010-03-23,63.4,64.5,63.1,63.1,3443978,219611707,1802,0.4,63.1
2010-03-24,63.6,64.3,63.0,63.0,2073760,131935380,1119,-0.1,63.0
2010-03-25,63.1,63.4,62.6,62.9,1719673,108185625,931,-0.1,62.9
2010-03-26,63.4,63.4,62.6,62.6,2124079,133731140,1065,-0.3,62.6
2010-03-29,62.6,65.2,62.6,64.7,7112999,457016327,3643,2.1,64.7
2010-03-30,65.0,65.5,64.0,64.0,4232733,274355512,2165,-0.7,64.0
2010-03-31,64.0,65.0,63.6,63.6,2921995,187624977,1303,-0.4,63.6
2010-04-01,63.8,64.6,63.8,63.9,2450988,157154625,1169,0.3,63.9
2010-04-02,64.9,64.9,63.6,63.6,1822543,116690381,1018,-0.3,63.6
2010-04-06,64.8,66.3,64.5,65.9,8285989,544314060,4083,2.3,65.9
2010-04-07,66.3,66.9,65.4,65.5,4495300,296601971,2058,-0.4,65.5
2010-04-08,65.5,66.0,63.6,63.6,3957418,255893724,1833,-1.9,63.6
2010-04-09,63.6,63.9,62.7,62.8,2318831,146082780,1292,-0.8,62.8
2010-04-12,63.5,63.9,63.3,63.3,1232150,78248150,667,0.5,63.3
2010-04-13,63.6,63.6,62.1,62.1,1521217,95370789,819,-1.2,62.1
2010-04-14,62.5,63.4,62.3,62.7,2022513,126877255,1089,0.6,62.7
2010-04-15,63.5,63.5,62.0,62.3,2462063,153931325,1303,-0.4,62.3
