date,open,high,low,close,volume,turnover,transactions,price_change,close_adj
20201202,0.0,61.0,38.0,61.0,69642,3444403,63,0.0,61.0
20201203,49.46,61.0,48.0,48.55,136482,7043004,89,2.14,48.55
20201204,51.6,48.95,47.0,47.5,42303,2026964,27,-3.68,47.5
20201207,47.92,46.95,43.7,46.95,25150,1146735,13,-2.32,46.95
20201208,45.6,45.3,42.5,42.95,18001,788642,12,-1.79,42.95
20201209,43.81,44.25,42.5,44.25,1101,48544,3,0.28,44.25
20201210,44.09,42.8,42.5,42.5,5000,212800,3,-1.53,42.5
20201211,42.56,43.15,43.15,43.15,3000,129450,1,0.59,43.15
20201214,43.15,0.0,0.0,0.0,0,0,0,0.0,0.0
20201215,43.15,42.8,42.0,42.8,11092,472437,9,-0.56,42.8
20201216,42.59,0.0,0.0,0.0,0,0,0,0.0,0.0
20201217,42.59,43.5,42.8,43.5,15000,647050,8,0.55,43.5
20201218,43.14,44.7,43.5,44.7,9000,398500,6,1.14,44.7
20201221,44.28,46.0,45.0,45.0,9000,407300,5,0.98,45.0
20201222,45.26,46.3,45.0,45.5,11000,506300,6,0.77,45.5
20201223,46.03,45.5,45.5,45.5,1000,45500,1,-0.53,45.5
20201224,45.5,46.0,45.1,46.0,11000,500800,5,0.03,46.0
20201225,45.53,46.5,46.0,46.0,11000,509000,4,0.74,46.0
20201228,46.27,46.5,45.8,46.5,7000,323300,3,-0.08,46.5
20201229,46.19,46.0,46.0,46.0,1000,46000,1,-0.19,46.0
20201230,46.0,46.7,46.5,46.5,10001,465896,7,0.59,46.5
20201231,46.59,0.0,0.0,0.0,0,0,0,0.0,0.0
20210104,46.59,46.0,46.0,46.0,1000,46000,1,-0.59,46.0
20210105,46.0,46.05,46.0,46.0,6000,276150,3,0.03,46.0
20210106,46.03,46.5,46.0,46.5,8001,369646,4,0.17,46.5
20210107,46.2,46.8,46.1,46.5,10000,465700,5,0.37,46.5
20210108,46.57,46.05,46.05,46.05,1000,46050,1,-0.52,46.05
20210111,46.05,46.15,44.8,46.0,19000,872800,12,-0.11,46.0
20210112,45.94,0.0,0.0,0.0,0,0,0,0.0,0.0
20210113,45.94,45.0,44.5,45.0,10000,448400,5,-1.1,45.0
20210114,44.84,0.0,0.0,0.0,0,0,0,0.0,0.0
20210115,44.84,44.5,44.0,44.0,11000,485500,4,-0.7,44.0
20210118,44.14,44.5,43.0,43.0,9043,394813,6,-0.48,43.0
20210119,43.66,44.0,43.0,43.0,14001,609543,6,-0.12,43.0
20210120,43.54,43.0,43.0,43.0,3000,129000,1,-0.54,43.0
20210121,43.0,42.5,42.5,42.5,3000,127500,1,-0.5,42.5
20210122,42.5,42.8,42.0,42.8,5000,212400,2,-0.02,42.8
20210125,42.48,43.3,42.3,42.3,4000,170200,2,0.07,42.3
20210126,42.55,41.5,41.5,41.5,6000,249000,3,-1.05,41.5
20210127,41.5,41.0,40.0,40.0,7000,283100,3,-1.06,40.0
20210128,40.44,40.2,40.2,40.2,3000,120600,3,-0.24,40.2
20210129,40.2,0.0,0.0,0.0,0,0,0,0.0,0.0
20210201,40.2,41.0,41.0,41.0,10,410,1,0.8,41.0
20210202,41.0,41.0,41.0,41.0,1,41,1,0.0,41.0
20210203,41.0,39.85,39.85,39.85,1000,39850,1,-1.15,39.85
20210204,39.85,40.0,40.0,40.0,6000,240000,3,0.15,40.0
20210205,40.0,0.0,0.0,0.0,0,0,0,0.0,0.0
20210217,40.0,40.5,40.5,40.5,2000,81000,2,0.5,40.5
20210218,40.5,40.5,40.0,40.0,6000,241500,4,-0.25,40.0
20210219,40.25,40.5,39.8,40.5,1400,56630,3,0.2,40.5
20210222,40.45,40.8,40.0,40.5,20000,807100,8,-0.09,40.5
20210223,40.36,40.5,40.0,40.0,17010,684405,11,-0.12,40.0
20210224,40.24,40.5,40.0,40.0,18000,724500,7,0.01,40.0
20210225,40.25,41.0,40.0,40.5,129100,5198550,63,0.02,40.5
20210226,40.27,41.0,39.85,41.0,31400,1263600,20,-0.03,41.0
20210302,40.24,41.5,39.8,40.3,79841,3232730,42,0.25,40.3
20210303,40.49,41.0,39.65,40.5,23400,939930,18,-0.32,40.5
20210304,40.17,40.8,39.8,40.75,17300,695862,14,0.05,40.75
20210305,40.22,40.75,39.8,40.5,12300,493850,9,-0.07,40.5
20210308,40.15,41.0,40.5,40.75,24104,981993,17,0.59,40.75
20210309,40.74,45.45,40.95,45.45,63651,2743746,61,2.37,45.45
20210310,43.11,46.0,43.7,44.5,39403,1770751,35,1.83,44.5
